"","StartDate","EndDate","Status","Progress","Duration..in.seconds.","Finished","RecordedDate","DistributionChannel","UserLanguage","Q_RecaptchaScore","Consent","Age","Sex","Citizenship","Residency","National_Identity_1","National_Identity_2","OwnCCBeliefs","OwnCCBeliefs_DO","OtherCCBeliefs_1","OtherCCBeliefs_2","OtherCCBeliefs_3","OtherCCBeliefs_4","OtherCCBeliefs_5","OtherCCBeliefs_DO","OwnBLBeliefs","OwnBLBeliefs_DO","OtherBLBeliefs_1","OtherBLBeliefs_2","OtherBLBeliefs_3","OtherBLBeliefs_4","OtherBLBeliefs_5","OtherBLBeliefs_DO","Discuss","Expectation_Changes_1","Expectation_Changes_2","Expectation_Changes_DO","Changes","Expectation_Support_1","Expectation_Support_2","Expectation_Support_DO","Support","Efficacy","Comprehension","Education","PoliticalOrientation","Urbanicity","Nationality_singular","Country","Nationality_plural","Q_TotalDuration","Response.Type","Age_Cat","randomizer_CCfirst","randomizer_ownfirst","Condition","Comprehension.1","FL_11_DO","FL_54_DO","country"
"1","2022-09-23 17:40:15","2022-09-23 17:42:36",0,100,141,1,"2022-09-23 17:42:36","anonymous","PT-BR",0.899999976158142,1,31,1,1,1,10,10,1,"1|2|3|4|5",100,0,0,0,0,"1|2|3|4|5",1,"1|2|3|4|5",100,0,0,0,0,"1|2|3|4|5",7,100,0,"1|2",4,0,100,"1|2",4,7,2,3,10,1,"Brasileiro/Brasileira","Brasil","Brasileiros/Brasileiras",141,"Speeder","30-39",0,0,"Control","Pass","FL_88","Control","Brazil"
"2","2022-09-23 17:40:51","2022-09-23 17:42:46",0,100,114,1,"2022-09-23 17:42:47","anonymous","PT-BR",0.899999976158142,1,34,0,1,1,10,10,1,"4|3|2|1|5",12,18,31,39,0,"4|3|2|1|5",1,"4|3|2|1|5",13,17,19,26,25,"4|3|2|1|5",7,45,55,"2|1",3,50,50,"2|1",4,7,2,5,6,1,"Brasileiro/Brasileira","Brasil","Brasileiros/Brasileiras",114,"Speeder","30-39",1,1,"Control","Pass","FL_63","Control","Brazil"
"3","2022-09-23 17:40:16","2022-09-23 17:42:48",0,100,151,1,"2022-09-23 17:42:48","anonymous","PT-BR",1,1,22,1,1,1,10,10,2,"1|2|3|4|5",76,24,0,0,0,"1|2|3|4|5",1,"1|2|3|4|5",23,12,23,10,32,"1|2|3|4|5",7,47,53,"1|2",2,49,51,"1|2",3,5,2,5,6,1,"Brasileiro/Brasileira","Brasil","Brasileiros/Brasileiras",151,"Speeder","18-29",1,0,"Intervention","Pass","FL_76","Intervention","Brazil"
"4","2022-09-23 17:40:03","2022-09-23 17:43:46",0,100,222,1,"2022-09-23 17:43:46","anonymous","PT-BR",1,1,31,1,1,1,8,7,4,"4|3|2|1|5",0,0,0,100,0,"4|3|2|1|5",4,"4|3|2|1|5",0,0,0,100,0,"4|3|2|1|5",6,0,100,"2|1",3,0,100,"2|1",3,7,2,3,5,1,"Brasileiro/Brasileira","Brasil","Brasileiros/Brasileiras",222,"Complete","30-39",0,0,"Intervention","Pass","FL_88","Intervention","Brazil"
"5","2022-09-23 17:40:08","2022-09-23 17:43:56",0,100,228,1,"2022-09-23 17:43:56","anonymous","PT-BR",1,1,41,1,1,1,9,8,4,"1|2|3|4|5",11,15,25,20,29,"1|2|3|4|5",4,"1|2|3|4|5",31,33,20,10,6,"1|2|3|4|5",6,74,26,"1|2",2,61,39,"1|2",1,3,2,5,10,1,"Brasileiro/Brasileira","Brasil","Brasileiros/Brasileiras",228,"Complete","40-49",0,1,"Intervention","Pass","FL_64","Intervention","Brazil"
"6","2022-09-23 17:40:17","2022-09-23 17:43:56",0,100,219,1,"2022-09-23 17:43:57","anonymous","PT-BR",0.899999976158142,1,24,1,1,1,9,8,1,"4|3|2|1|5",100,0,0,0,0,"4|3|2|1|5",1,"4|3|2|1|5",100,0,0,0,0,"4|3|2|1|5",7,17,83,"2|1",4,0,100,"2|1",4,6,2,5,6,1,"Brasileiro/Brasileira","Brasil","Brasileiros/Brasileiras",219,"Complete","18-29",1,0,"Control","Pass","FL_76","Control","Brazil"
"7","2022-09-23 17:40:03","2022-09-23 17:44:05",0,100,242,1,"2022-09-23 17:44:06","anonymous","PT-BR",1,1,49,0,1,1,10,10,1,"1|2|3|4|5",100,0,0,0,0,"1|2|3|4|5",1,"1|2|3|4|5",100,0,0,0,0,"1|2|3|4|5",7,82,18,"1|2",3,0,100,"1|2",3,7,2,5,0,1,"Brasileiro/Brasileira","Brasil","Brasileiros/Brasileiras",242,"Complete","40-49",1,1,"Control","Pass","FL_63","Control","Brazil"
"8","2022-09-23 17:39:58","2022-09-23 17:44:08",0,100,250,1,"2022-09-23 17:44:08","anonymous","PT-BR",1,1,36,0,1,1,10,10,2,"4|3|2|1|5",21,53,8,13,5,"4|3|2|1|5",2,"4|3|2|1|5",10,60,16,12,2,"4|3|2|1|5",5,32,68,"2|1",4,36,64,"2|1",3,5,2,5,5,1,"Brasileiro/Brasileira","Brasil","Brasileiros/Brasileiras",250,"Complete","30-39",1,1,"Control","Pass","FL_63","Control","Brazil"
"9","2022-09-23 17:42:47","2022-09-23 17:44:13",0,100,85,1,"2022-09-23 17:44:14","anonymous","PT-BR",0.899999976158142,1,106,0,0,0,NA,NA,NA,"",NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,"",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"Brasileiro/Brasileira","Brasil","Brasileiros/Brasileiras",85,"Screenout","60+",NA,NA,"","","","","Brazil"
"10","2022-09-23 17:40:18","2022-09-23 17:44:20",0,100,241,1,"2022-09-23 17:44:20","anonymous","PT-BR",1,1,30,1,1,1,10,9,1,"1|2|3|4|5",43,31,26,0,0,"1|2|3|4|5",1,"1|2|3|4|5",35,33,32,0,0,"1|2|3|4|5",6,53,47,"1|2",3,53,47,"1|2",3,6,2,5,10,1,"Brasileiro/Brasileira","Brasil","Brasileiros/Brasileiras",241,"Complete","30-39",1,1,"Intervention","Pass","FL_63","Intervention","Brazil"
