StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,DistributionChannel,UserLanguage,Q_RecaptchaScore,Consent,Age,Sex,Citizenship,Residency,National_Identity_1,National_Identity_2,OwnCCBeliefs,OwnCCBeliefs_DO,OtherCCBeliefs_1,OtherCCBeliefs_2,OtherCCBeliefs_3,OtherCCBeliefs_4,OtherCCBeliefs_5,OtherCCBeliefs_DO,OwnBLBeliefs,OwnBLBeliefs_DO,OtherBLBeliefs_1,OtherBLBeliefs_2,OtherBLBeliefs_3,OtherBLBeliefs_4,OtherBLBeliefs_5,OtherBLBeliefs_DO,timer_control_First Click,timer_control_Last Click,timer_control_Page Submit,timer_control_Click Count,timer_intervention_First Click,timer_intervention_Last Click,timer_intervention_Page Submit,timer_intervention_Click Count,Updated_Beliefs_6,Updated_Beliefs_DO,Confidence_4,Discuss,Expectation_Changes_1,Expectation_Changes_2,Expectation_Changes_DO,Changes,Expectation_Support_1,Expectation_Support_2,Expectation_Support_DO,Support,Efficacy,Comprehension,attention,Education,PoliticalOrientation,Urbanicity,response_id,assignment_id,besample_id,completion_code,Nationality_singular,Country,Nationality_plural,Q_TotalDuration,screenout,Age_Cat,randomizer_CCfirst,randomizer_ownfirst,Condition,Comprehension,Response Type,FL_11_DO,FL_54_DO
1/30/2024 13:41,1/30/2024 13:47,0,100,368,1,1/30/2024 13:47,R_3NfljUJqkfIjfVL,anonymous,PT-BR,1,1,31,1,1,1,10,10,1,1|2|3|4|5,98,2,0,0,0,1|2|3|4|5,1,1|2|3|4|5,85,15,0,0,0,1|2|3|4|5,,,,,2.936,2.936,3.779,1,100,6,100,7,67,33,1|2,3,74,26,1|2,3,7,2,33,5,5,1,784,00028c7ade--65b8ee69f47be14ddc4d6b00,4711,3693424,Brasileiro/Brasileira,Brasil,Brasileiros/Brasileiras,368,,30-39,1,0,Intervention,Pass,Complete,FL_76,Intervention
1/30/2024 13:43,1/30/2024 13:49,0,100,351,1,1/30/2024 13:49,R_1hSqVUz156mEUTL,anonymous,PT-BR,0.899999976,1,34,1,1,1,10,5,1,4|3|2|1|5,10,36,28,23,3,4|3|2|1|5,1,4|3|2|1|5,29,32,15,22,2,4|3|2|1|5,,,,,19.338,19.519,26.501,2,39,6,100,7,34,66,2|1,4,32,68,2|1,4,6,2,88,6,1,2,802,00028c7ade--65b8ef03e616c910abfff935,4711,3778222,Brasileiro/Brasileira,Brasil,Brasileiros/Brasileiras,351,,30-39,1,1,Intervention,Pass,Complete,FL_63,Intervention
1/30/2024 13:50,1/30/2024 13:52,0,100,153,1,1/30/2024 13:52,R_38m9eSaqE06H2il,anonymous,PT-BR,1,1,31,1,1,1,10,10,1,1|2|3|4|5,71,29,0,0,0,1|2|3|4|5,1,1|2|3|4|5,62,38,0,0,0,1|2|3|4|5,,,,,16.869,16.869,17.68,1,100,6,100,7,83,17,1|2,3,53,47,1|2,3,5,2,88,5,5,1,784,00028c7ade--65b8ee69f47be14ddc4d6b00,4711,3693424,Brasileiro/Brasileira,Brasil,Brasileiros/Brasileiras,153,speeder,30-39,0,1,Intervention,Pass,Complete,FL_64,Intervention
1/30/2024 13:45,1/30/2024 13:55,0,100,609,1,1/30/2024 13:55,R_1mMZFYkJiuTAgQp,anonymous,PT-BR,1,1,38,0,1,1,10,10,1,4|3|2|1|5,100,0,0,0,0,4|3|2|1|5,1,4|3|2|1|5,100,0,0,0,0,4|3|2|1|5,0,0,10.501,0,,,,,100,6,61,6,50,50,2|1,3,50,50,2|1,3,7,2,,3,10,2,790,00028c7ade--65b8eed6f47be14ddc4d7c7c,4711,3721690,Brasileiro/Brasileira,Brasil,Brasileiros/Brasileiras,609,,30-39,0,0,Control,Pass,Complete,FL_88,Control
1/30/2024 13:47,1/30/2024 13:57,0,100,590,1,1/30/2024 13:57,R_5qvYIcc3vgrjcQM,anonymous,PT-BR,1,1,30,1,1,1,10,8,2,4|3|2|1|5,45,21,23,8,3,4|3|2|1|5,1,4|3|2|1|5,54,21,10,10,5,4|3|2|1|5,0,0,7.446,0,,,,,70,6,52,3,22,78,2|1,2,33,67,2|1,2,3,2,,4,8,1,794,00028c7ade--65b8efe6624e2207907f30c6,4711,3740534,Brasileiro/Brasileira,Brasil,Brasileiros/Brasileiras,590,,30-39,0,0,Control,Pass,Complete,FL_88,Control
1/30/2024 13:50,1/30/2024 13:57,0,100,441,1,1/30/2024 13:57,R_3g93ozlSIjy8wal,anonymous,PT-BR,0.899999976,1,44,0,1,1,10,8,1,4|3|2|1|5,0,0,5,95,0,4|3|2|1|5,2,4|3|2|1|5,12,33,31,19,5,4|3|2|1|5,,,,,20.718,20.718,21.645,1,49,6,50,5,49,51,2|1,3,50,50,2|1,3,7,2,33,5,7,1,806,00028c7ade--65b8f05e624e2207907f4945,4711,3797066,Brasileiro/Brasileira,Brasil,Brasileiros/Brasileiras,441,,40-49,1,1,Intervention,Pass,Complete,FL_63,Intervention
1/30/2024 13:54,1/30/2024 13:58,0,100,242,1,1/30/2024 13:58,R_7hEex5PaaKuGHAg,anonymous,PT-BR,1,1,35,1,1,1,10,10,2,1|2|3|4|5,45,40,5,5,5,1|2|3|4|5,2,1|2|3|4|5,45,30,15,5,5,1|2|3|4|5,0,0,3.858,0,,,,,80,6,90,6,55,45,1|2,3,55,45,1|2,4,6,2,,6,5,1,780,00028c7ade--65b8f16ee616c910ab006332,4711,3674580,Brasileiro/Brasileira,Brasil,Brasileiros/Brasileiras,242,,30-39,0,0,Control,Pass,Complete,FL_88,Control
1/30/2024 13:55,1/30/2024 13:59,0,100,197,1,1/30/2024 13:59,R_6RQ5aExW9SzJa0h,anonymous,PT-BR,1,1,39,1,1,1,10,10,5,4|3|2|1|5,0,0,0,100,0,4|3|2|1|5,5,4|3|2|1|5,0,0,0,100,0,4|3|2|1|5,0,0,0.901,0,,,,,0,6,100,5,100,0,2|1,1,100,0,2|1,1,4,2,,2,7,3,792,00028c7ade--65b8f1a3e616c910ab006b51,4711,3731112,Brasileiro/Brasileira,Brasil,Brasileiros/Brasileiras,197,,30-39,0,1,Control,Pass,Complete,FL_64,Control
1/30/2024 13:46,1/30/2024 14:00,0,100,797,1,1/30/2024 14:00,R_7wxaw1EWrbCvztD,anonymous,PT-BR,,1,25,0,1,1,10,10,1,4|3|2|1|5,100,0,0,0,0,4|3|2|1|5,1,4|3|2|1|5,100,0,0,0,0,4|3|2|1|5,0,0,8.599,0,,,,,49,6,79,7,55,45,2|1,4,53,47,2|1,4,7,2,,5,6,1,801,00028c7ade--65b8ef83e616c910ab000f61,4711,3773511,Brasileiro/Brasileira,Brasil,Brasileiros/Brasileiras,797,,18-29,1,1,Control,Pass,Complete,FL_63,Control
1/30/2024 13:48,1/30/2024 14:00,0,100,688,1,1/30/2024 14:00,R_10biHaJF4qZrhND,anonymous,PT-BR,1,1,52,1,1,1,10,9,1,4|3|2|1|5,53,19,8,20,0,4|3|2|1|5,1,4|3|2|1|5,55,20,7,18,0,4|3|2|1|5,,,,,0,0,28.247,0,73,6,81,7,28,72,2|1,4,40,60,2|1,4,6,2,73,5,2,1,779,00028c7ade--65b8f010f47be14ddc4dbca5,4711,3669869,Brasileiro/Brasileira,Brasil,Brasileiros/Brasileiras,688,,50-59,1,0,Intervention,Pass,Complete,FL_76,Intervention
