"","StartDate","EndDate","Status","Progress","Duration..in.seconds.","Finished","RecordedDate","DistributionChannel","UserLanguage","Q_RecaptchaScore","Consent","Age","Sex","Citizenship","Residency","National_Identity_1","National_Identity_2","OwnCCBeliefs","OwnCCBeliefs_DO","OtherCCBeliefs_1","OtherCCBeliefs_2","OtherCCBeliefs_3","OtherCCBeliefs_4","OtherCCBeliefs_5","OtherCCBeliefs_DO","OwnBLBeliefs","OwnBLBeliefs_DO","OtherBLBeliefs_1","OtherBLBeliefs_2","OtherBLBeliefs_3","OtherBLBeliefs_4","OtherBLBeliefs_5","OtherBLBeliefs_DO","Discuss","Expectation_Changes_1","Expectation_Changes_2","Expectation_Changes_DO","Changes","Expectation_Support_1","Expectation_Support_2","Expectation_Support_DO","Support","Efficacy","Comprehension","Education","PoliticalOrientation","Urbanicity","Nationality_singular","Country","Nationality_plural","Q_TotalDuration","Nationality_singular_en","Country_en","Nationality_plural_en","Response.Type","Age_Cat","randomizer_CCfirst","randomizer_ownfirst","Condition","Comprehension.1","FL_11_DO","FL_54_DO","country"
"1","2022-09-23 17:19:59","2022-09-23 17:20:26",0,100,26,1,"2022-09-23 17:20:26","anonymous","EN",1,1,31,0,0,1,NA,NA,NA,"",NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,"",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"Canadien/Canadienne","Canada","Canadiens",26,"Canadian","Canada","Canadians","Screenout","30-39",NA,NA,"","","","","Canada"
"2","2022-09-23 17:20:03","2022-09-23 17:20:57",0,100,54,1,"2022-09-23 17:20:57","anonymous","EN",1,1,42,1,0,1,NA,NA,NA,"",NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,"",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"Canadien/Canadienne","Canada","Canadiens",54,"Canadian","Canada","Canadians","Screenout","40-49",NA,NA,"","","","","Canada"
"3","2022-09-23 17:20:05","2022-09-23 17:21:57",0,100,111,1,"2022-09-23 17:21:57","anonymous","EN",1,1,35,0,1,1,8,10,3,"4|3|2|1|5",0,31,41,28,0,"4|3|2|1|5",2,"4|3|2|1|5",11,21,32,36,0,"4|3|2|1|5",4,83,17,"2|1",4,58,42,"2|1",4,6,2,5,6,1,"Canadien/Canadienne","Canada","Canadiens",111,"Canadian","Canada","Canadians","Speeder","30-39",1,1,"Control","Pass","FL_63","Control","Canada"
"4","2022-09-23 17:20:20","2022-09-23 17:22:49",0,100,148,1,"2022-09-23 17:22:50","anonymous","EN",1,1,34,0,1,1,10,9,1,"4|3|2|1|5",100,0,0,0,0,"4|3|2|1|5",2,"4|3|2|1|5",22,10,31,14,23,"4|3|2|1|5",6,50,50,"2|1",3,32,68,"2|1",3,5,2,3,5,1,"Canadien/Canadienne","Canada","Canadiens",148,"Canadian","Canada","Canadians","Speeder","30-39",0,0,"Intervention","Pass","FL_88","Intervention","Canada"
"5","2022-09-23 17:20:05","2022-09-23 17:22:51",0,100,166,1,"2022-09-23 17:22:52","anonymous","EN",0.899999976158142,1,48,1,1,1,10,10,2,"1|2|3|4|5",2,3,44,39,12,"1|2|3|4|5",1,"1|2|3|4|5",46,54,0,0,0,"1|2|3|4|5",5,55,45,"1|2",4,0,100,"1|2",3,99,2,5,5,1,"Canadien/Canadienne","Canada","Canadiens",166,"Canadian","Canada","Canadians","Speeder","40-49",0,1,"Intervention","Pass","FL_64","Intervention","Canada"
"6","2022-09-23 17:20:22","2022-09-23 17:23:00",0,100,158,1,"2022-09-23 17:23:01","anonymous","EN",0.899999976158142,1,38,0,1,1,8,5,2,"4|3|2|1|5",0,0,22,78,0,"4|3|2|1|5",2,"4|3|2|1|5",0,0,34,66,0,"4|3|2|1|5",4,44,56,"2|1",2,30,70,"2|1",2,3,2,5,5,1,"Canadien/Canadienne","Canada","Canadiens",158,"Canadian","Canada","Canadians","Speeder","30-39",1,1,"Control","Pass","FL_63","Control","Canada"
"7","2022-09-23 17:20:25","2022-09-23 17:23:37",0,100,191,1,"2022-09-23 17:23:38","anonymous","EN",1,1,53,0,1,1,5,4,1,"4|3|2|1|5",0,76,14,10,0,"4|3|2|1|5",2,"4|3|2|1|5",5,0,51,44,0,"4|3|2|1|5",6,39,61,"2|1",4,45,55,"2|1",3,3,2,5,5,2,"Canadien/Canadienne","Canada","Canadiens",191,"Canadian","Canada","Canadians","Complete","50-59",1,0,"Intervention","Pass","FL_76","Intervention","Canada"
"8","2022-09-23 17:20:23","2022-09-23 17:23:46",0,100,202,1,"2022-09-23 17:23:47","anonymous","EN",1,1,57,1,1,1,10,10,1,"4|3|2|1|5",0,0,15,85,0,"4|3|2|1|5",5,"4|3|2|1|5",7,28,36,29,0,"4|3|2|1|5",7,60,40,"2|1",4,41,59,"2|1",4,7,2,5,5,2,"Canadien/Canadienne","Canada","Canadiens",202,"Canadian","Canada","Canadians","Complete","50-59",1,1,"Control","Pass","FL_63","Control","Canada"
"9","2022-09-23 17:20:06","2022-09-23 17:23:50",0,100,223,1,"2022-09-23 17:23:50","anonymous","EN",1,1,33,0,1,1,10,8,1,"1|2|3|4|5",69,25,5,1,0,"1|2|3|4|5",1,"1|2|3|4|5",60,23,12,5,0,"1|2|3|4|5",5,40,60,"1|2",3,83,17,"1|2",2,5,2,5,2,1,"Canadien/Canadienne","Canada","Canadiens",223,"Canadian","Canada","Canadians","Complete","30-39",1,0,"Control","Pass","FL_76","Control","Canada"
"10","2022-09-23 17:20:33","2022-09-23 17:24:19",0,100,225,1,"2022-09-23 17:24:19","anonymous","EN",1,1,37,0,1,1,10,6,1,"4|3|2|1|5",30,28,32,10,0,"4|3|2|1|5",1,"4|3|2|1|5",51,27,16,6,0,"4|3|2|1|5",7,50,50,"2|1",4,37,63,"2|1",4,4,2,3,0,1,"Canadien/Canadienne","Canada","Canadiens",225,"Canadian","Canada","Canadians","Complete","30-39",1,0,"Intervention","Pass","FL_76","Intervention","Canada"
