"","StartDate","EndDate","Status","Progress","Duration..in.seconds.","Finished","RecordedDate","DistributionChannel","UserLanguage","Q_RecaptchaScore","Consent","Age","Sex","Citizenship","Residency","National_Identity_1","National_Identity_2","OwnCCBeliefs","OwnCCBeliefs_DO","OtherCCBeliefs_1","OtherCCBeliefs_2","OtherCCBeliefs_3","OtherCCBeliefs_4","OtherCCBeliefs_5","OtherCCBeliefs_DO","OwnBLBeliefs","OwnBLBeliefs_DO","OtherBLBeliefs_1","OtherBLBeliefs_2","OtherBLBeliefs_3","OtherBLBeliefs_4","OtherBLBeliefs_5","OtherBLBeliefs_DO","Discuss","Expectation_Changes_1","Expectation_Changes_2","Expectation_Changes_DO","Changes","Expectation_Support_1","Expectation_Support_2","Expectation_Support_DO","Support","Efficacy","Comprehension","Education","PoliticalOrientation","Urbanicity","Nationality_singular","Country","Nationality_plural","Q_TotalDuration","Response.Type","Age_Cat","randomizer_CCfirst","randomizer_ownfirst","Condition","Comprehension.1","FL_11_DO","FL_54_DO","country"
"1","2022-09-29 10:14:37","2022-09-29 10:18:33",0,100,235,1,"2022-09-29 10:18:33","anonymous","ZH-S",NA,1,51,1,1,1,10,10,2,"4|3|2|1|5",10,50,20,20,0,"4|3|2|1|5",1,"4|3|2|1|5",60,30,0,10,0,"4|3|2|1|5",7,30,70,"2|1",3,50,50,"2|1",2,6,2,5,5,1,"中国人","中国","中国人",235,"Complete","50-59",0,1,"Control","Pass","FL_64","Control","China"
"2","2022-09-29 10:18:05","2022-09-29 10:27:32",0,100,567,1,"2022-09-29 10:27:32","anonymous","ZH-S",NA,1,42,1,1,1,10,10,2,"1|2|3|4|5",50,50,0,0,0,"1|2|3|4|5",2,"1|2|3|4|5",61,39,0,0,0,"1|2|3|4|5",4,51,49,"1|2",3,51,49,"1|2",4,99,2,5,5,1,"中国人","中国","中国人",567,"Complete","40-49",1,0,"Intervention","Pass","FL_76","Intervention","China"
"3","2022-09-29 10:26:46","2022-09-29 10:30:35",0,100,228,1,"2022-09-29 10:30:35","anonymous","ZH-S",NA,1,42,1,1,1,10,10,1,"1|2|3|4|5",80,15,1,4,0,"1|2|3|4|5",1,"1|2|3|4|5",75,20,3,2,0,"1|2|3|4|5",7,28,72,"1|2",4,50,50,"1|2",3,4,2,6,9,1,"中国人","中国","中国人",228,"Complete","40-49",1,0,"Intervention","Pass","FL_76","Intervention","China"
"4","2022-09-29 10:18:18","2022-09-29 10:33:00",0,100,882,1,"2022-09-29 10:33:01","anonymous","ZH-S",NA,1,31,0,1,1,9,6,1,"1|2|3|4|5",40,20,19,11,10,"1|2|3|4|5",1,"1|2|3|4|5",70,30,0,0,0,"1|2|3|4|5",5,72,28,"1|2",2,79,21,"1|2",2,4,2,5,5,1,"中国人","中国","中国人",882,"Complete","30-39",0,0,"Control","Pass","FL_88","Control","China"
"5","2022-09-29 10:21:51","2022-09-29 10:33:05",0,100,673,1,"2022-09-29 10:33:05","anonymous","ZH-S",NA,1,59,0,1,1,10,10,2,"4|3|2|1|5",60,30,0,0,10,"4|3|2|1|5",1,"4|3|2|1|5",70,15,5,0,10,"4|3|2|1|5",5,70,30,"2|1",3,70,30,"2|1",2,6,2,3,5,1,"中国人","中国","中国人",673,"Complete","50-59",1,1,"Intervention","Pass","FL_63","Intervention","China"
"6","2022-09-29 10:37:01","2022-09-29 10:43:28",0,100,387,1,"2022-09-29 10:43:28","anonymous","ZH-S",NA,1,36,0,1,1,10,10,1,"4|3|2|1|5",70,30,0,0,0,"4|3|2|1|5",1,"4|3|2|1|5",70,30,0,0,0,"4|3|2|1|5",4,10,90,"2|1",3,50,50,"2|1",3,6,2,5,5,1,"中国人","中国","中国人",387,"Complete","30-39",0,1,"Control","Pass","FL_64","Control","China"
"7","2022-09-29 10:47:11","2022-09-29 10:52:58",0,100,347,1,"2022-09-29 10:52:58","anonymous","ZH-S",NA,1,36,0,1,1,10,10,1,"1|2|3|4|5",100,0,0,0,0,"1|2|3|4|5",1,"1|2|3|4|5",92,8,0,0,0,"1|2|3|4|5",5,17,83,"1|2",3,38,62,"1|2",3,6,2,5,5,1,"中国人","中国","中国人",347,"Complete","30-39",1,0,"Intervention","Pass","FL_76","Intervention","China"
"8","2022-09-29 10:50:54","2022-09-29 10:54:54",0,100,240,1,"2022-09-29 10:54:55","anonymous","ZH-S",NA,1,51,1,1,1,10,10,2,"4|3|2|1|5",70,30,0,0,0,"4|3|2|1|5",1,"4|3|2|1|5",80,20,0,0,0,"4|3|2|1|5",7,20,80,"2|1",4,27,73,"2|1",3,6,2,7,6,1,"中国人","中国","中国人",240,"Complete","50-59",0,1,"Intervention","Pass","FL_64","Intervention","China"
"9","2022-09-29 10:45:46","2022-09-29 10:54:58",0,100,552,1,"2022-09-29 10:54:59","anonymous","ZH-S",NA,1,61,1,1,1,9,9,1,"4|3|2|1|5",55,30,15,0,0,"4|3|2|1|5",2,"4|3|2|1|5",30,60,10,0,0,"4|3|2|1|5",6,50,50,"2|1",3,40,60,"2|1",3,6,2,6,4,1,"中国人","中国","中国人",552,"Complete","60+",1,1,"Control","Pass","FL_63","Control","China"
"10","2022-09-29 10:50:39","2022-09-29 10:58:29",0,100,470,1,"2022-09-29 10:58:29","anonymous","ZH-S",NA,1,40,0,1,1,8,8,1,"4|3|2|1|5",60,35,5,0,0,"4|3|2|1|5",1,"4|3|2|1|5",53,33,7,7,0,"4|3|2|1|5",5,20,80,"2|1",3,69,31,"2|1",2,5,2,5,5,1,"中国人","中国","中国人",470,"Complete","40-49",0,0,"Control","Pass","FL_88","Control","China"
"11","2022-09-29 10:53:41","2022-09-29 10:58:39",0,100,297,1,"2022-09-29 10:58:39","anonymous","ZH-S",NA,1,28,0,1,1,10,10,2,"4|3|2|1|5",18,48,27,7,0,"4|3|2|1|5",2,"4|3|2|1|5",23,56,17,4,0,"4|3|2|1|5",7,27,73,"2|1",4,37,63,"2|1",3,7,2,5,5,1,"中国人","中国","中国人",297,"Complete","18-29",1,1,"Intervention","Pass","FL_63","Intervention","China"
"12","2022-09-29 10:55:25","2022-09-29 10:59:43",0,100,258,1,"2022-09-29 10:59:43","anonymous","ZH-S",NA,1,43,1,1,1,10,10,2,"1|2|3|4|5",9,83,6,2,0,"1|2|3|4|5",2,"1|2|3|4|5",10,80,7,3,0,"1|2|3|4|5",6,37,63,"1|2",3,47,53,"1|2",3,5,2,6,5,1,"中国人","中国","中国人",258,"Complete","40-49",0,1,"Control","Pass","FL_64","Control","China"
"13","2022-09-29 11:01:49","2022-09-29 11:11:26",0,100,576,1,"2022-09-29 11:11:26","anonymous","ZH-S",NA,1,71,1,1,1,10,10,2,"1|2|3|4|5",30,50,5,5,10,"1|2|3|4|5",2,"1|2|3|4|5",60,30,5,5,0,"1|2|3|4|5",6,20,80,"1|2",4,40,60,"1|2",3,7,2,3,4,1,"中国人","中国","中国人",576,"Complete","60+",1,0,"Control","Pass","FL_76","Control","China"
"14","2022-09-29 10:46:19","2022-09-29 11:12:54",0,100,1594,1,"2022-09-29 11:12:54","anonymous","ZH-S",NA,1,54,1,1,1,10,10,1,"4|3|2|1|5",50,30,0,0,20,"4|3|2|1|5",2,"4|3|2|1|5",10,50,10,0,30,"4|3|2|1|5",7,20,80,"2|1",3,70,30,"2|1",2,6,2,3,5,1,"中国人","中国","中国人",1594,"Complete","50-59",0,0,"Intervention","Pass","FL_88","Intervention","China"
"15","2022-09-29 11:06:32","2022-09-29 11:14:04",0,100,452,1,"2022-09-29 11:14:05","anonymous","ZH-S",NA,1,66,1,1,1,10,10,1,"1|2|3|4|5",60,30,0,0,10,"1|2|3|4|5",1,"1|2|3|4|5",55,20,10,10,5,"1|2|3|4|5",7,30,70,"1|2",4,10,90,"1|2",3,7,2,5,6,1,"中国人","中国","中国人",452,"Complete","60+",0,0,"Control","Pass","FL_88","Control","China"
"16","2022-09-29 11:27:49","2022-09-29 11:30:32",0,100,163,1,"2022-09-29 11:30:33","anonymous","ZH-S",NA,1,33,0,1,1,10,10,1,"1|2|3|4|5",31,32,30,7,0,"1|2|3|4|5",1,"1|2|3|4|5",36,38,26,0,0,"1|2|3|4|5",6,28,72,"1|2",4,20,80,"1|2",4,6,2,6,9,1,"中国人","中国","中国人",163,"Speeder","30-39",1,1,"Intervention","Pass","FL_63","Intervention","China"
"17","2022-09-29 11:46:21","2022-09-29 11:59:37",0,100,796,1,"2022-09-29 11:59:37","anonymous","ZH-S",NA,1,46,0,1,1,10,9,1,"1|2|3|4|5",49,27,0,24,0,"1|2|3|4|5",1,"1|2|3|4|5",41,25,11,23,0,"1|2|3|4|5",7,40,60,"1|2",3,41,59,"1|2",2,7,2,5,4,1,"中国人","中国","中国人",796,"Complete","40-49",1,0,"Control","Pass","FL_76","Control","China"
"18","2022-09-29 11:54:54","2022-09-29 12:02:15",0,100,441,1,"2022-09-29 12:02:16","anonymous","ZH-S",NA,1,51,1,1,1,10,10,1,"4|3|2|1|5",100,0,0,0,0,"4|3|2|1|5",2,"4|3|2|1|5",10,90,0,0,0,"4|3|2|1|5",4,90,10,"2|1",2,98,2,"2|1",2,6,2,5,5,1,"中国人","中国","中国人",441,"Complete","50-59",1,1,"Intervention","Pass","FL_63","Intervention","China"
"19","2022-09-29 11:59:51","2022-09-29 12:07:01",0,100,429,1,"2022-09-29 12:07:01","anonymous","ZH-S",NA,1,51,0,1,1,10,10,4,"4|3|2|1|5",0,0,0,100,0,"4|3|2|1|5",4,"4|3|2|1|5",0,0,0,100,0,"4|3|2|1|5",7,100,0,"2|1",1,100,0,"2|1",4,999,2,3,5,1,"中国人","中国","中国人",429,"Complete","50-59",0,1,"Control","Pass","FL_64","Control","China"
