"","StartDate","EndDate","Status","Progress","Duration..in.seconds.","Finished","RecordedDate","DistributionChannel","UserLanguage","Q_RecaptchaScore","Consent","Age","Sex","Citizenship","Residency","National_Identity_1","National_Identity_2","OwnCCBeliefs","OwnCCBeliefs_DO","OtherCCBeliefs_1","OtherCCBeliefs_2","OtherCCBeliefs_3","OtherCCBeliefs_4","OtherCCBeliefs_5","OtherCCBeliefs_DO","OwnBLBeliefs","OwnBLBeliefs_DO","OtherBLBeliefs_1","OtherBLBeliefs_2","OtherBLBeliefs_3","OtherBLBeliefs_4","OtherBLBeliefs_5","OtherBLBeliefs_DO","Discuss","Expectation_Changes_1","Expectation_Changes_2","Expectation_Changes_DO","Changes","Expectation_Support_1","Expectation_Support_2","Expectation_Support_DO","Support","Efficacy","Comprehension","Education","PoliticalOrientation","Urbanicity","Nationality_singular","Country","Nationality_plural","Q_TotalDuration","Nationality_plural_n","Response.Type","Age_Cat","randomizer_CCfirst","randomizer_ownfirst","Condition","Comprehension.1","FL_11_DO","FL_54_DO","country"
"1","2022-09-14 14:47:49","2022-09-14 14:50:33",0,100,163,1,"2022-09-14 14:50:34","anonymous","DE",1,1,39,0,1,1,10,8,2,"4|3|2|1|5",58,29,8,4,1,"4|3|2|1|5",2,"4|3|2|1|5",39,21,6,4,30,"4|3|2|1|5",7,72,28,"2|1",1,89,11,"2|1",1,1,2,5,7,1,"Deutsche/r","Deutschland","Deutsche",163,"Deutschen","Speeder","30-39",1,0,"Intervention","Pass","FL_76","Intervention","Germany"
"2","2022-09-14 14:50:49","2022-09-14 14:57:22",0,100,393,1,"2022-09-14 14:57:24","anonymous","DE",1,1,68,1,1,1,7,5,1,"4|3|2|1|5",38,23,21,17,1,"4|3|2|1|5",1,"4|3|2|1|5",60,12,12,5,11,"4|3|2|1|5",6,50,50,"2|1",4,51,49,"2|1",4,5,2,6,0,1,"Deutsche/r","Deutschland","Deutsche",393,"Deutschen","Complete","60+",1,1,"Control","Pass","FL_63","Control","Germany"
"3","2022-09-14 14:51:35","2022-09-14 14:57:45",0,100,369,1,"2022-09-14 14:57:45","anonymous","DE",1,1,64,0,1,1,10,10,2,"1|2|3|4|5",60,20,0,0,20,"1|2|3|4|5",2,"1|2|3|4|5",50,15,0,0,35,"1|2|3|4|5",3,58,42,"1|2",3,26,74,"1|2",3,5,2,5,2,1,"Deutsche/r","Deutschland","Deutsche",369,"Deutschen","Complete","60+",0,0,"Intervention","Pass","FL_88","Intervention","Germany"
"4","2022-09-14 15:00:46","2022-09-14 15:01:08",0,100,22,1,"2022-09-14 15:01:09","anonymous","DE",1,1,0,1,0,0,NA,NA,NA,"",NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,"",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"Deutsche/r","Deutschland","Deutsche",22,"Deutschen","Screenout","",NA,NA,"","","","","Germany"
"5","2022-09-14 15:00:14","2022-09-14 15:04:48",0,100,273,1,"2022-09-14 15:04:49","anonymous","DE",0.899999976158142,1,45,1,1,1,8,5,1,"1|2|3|4|5",100,0,0,0,0,"1|2|3|4|5",1,"1|2|3|4|5",100,0,0,0,0,"1|2|3|4|5",7,25,75,"1|2",4,34,66,"1|2",4,6,2,4,1,2,"Deutsche/r","Deutschland","Deutsche",273,"Deutschen","Complete","40-49",0,0,"Control","Pass","FL_88","Control","Germany"
"6","2022-09-14 15:01:04","2022-09-14 15:22:06",0,100,1262,1,"2022-09-14 15:22:08","anonymous","DE",1,1,59,1,1,1,10,10,3,"4|3|2|1|5",0,0,94,0,6,"4|3|2|1|5",3,"4|3|2|1|5",0,0,90,10,0,"4|3|2|1|5",1,22,78,"2|1",2,100,0,"2|1",1,999,2,6,0,2,"Deutsche/r","Deutschland","Deutsche",1262,"Deutschen","Complete","50-59",1,0,"Control","Pass","FL_76","Control","Germany"
"7","2022-09-14 15:30:18","2022-09-14 15:39:05",0,100,526,1,"2022-09-14 15:39:06","anonymous","DE",1,1,73,1,1,1,10,5,1,"4|3|2|1|5",30,17,12,12,29,"4|3|2|1|5",1,"4|3|2|1|5",57,8,11,7,17,"4|3|2|1|5",7,40,60,"2|1",4,16,84,"2|1",4,4,2,4,4,2,"Deutsche/r","Deutschland","Deutsche",526,"Deutschen","Complete","60+",0,1,"Intervention","Pass","FL_64","Intervention","Germany"
"8","2022-09-14 15:30:39","2022-09-14 15:41:19",0,100,640,1,"2022-09-14 15:41:20","anonymous","DE",1,1,59,1,1,1,10,7,2,"1|2|3|4|5",45,25,20,10,0,"1|2|3|4|5",2,"1|2|3|4|5",9,0,11,30,50,"1|2|3|4|5",1,70,30,"1|2",3,20,80,"1|2",3,3,2,5,5,2,"Deutsche/r","Deutschland","Deutsche",640,"Deutschen","Complete","50-59",0,1,"Control","Pass","FL_64","Control","Germany"
"9","2022-09-14 16:10:02","2022-09-14 16:15:40",0,100,337,1,"2022-09-14 16:15:41","anonymous","DE",0.899999976158142,1,69,1,1,1,10,10,1,"4|3|2|1|5",60,30,9,1,0,"4|3|2|1|5",1,"4|3|2|1|5",45,25,20,5,5,"4|3|2|1|5",7,60,40,"2|1",3,50,50,"2|1",4,3,2,4,5,2,"Deutsche/r","Deutschland","Deutsche",337,"Deutschen","Complete","60+",1,0,"Intervention","Pass","FL_76","Intervention","Germany"
"10","2022-09-14 16:00:12","2022-09-14 16:39:09",0,100,2337,1,"2022-09-14 16:39:11","anonymous","DE",0.899999976158142,1,61,1,1,1,10,10,1,"1|2|3|4|5",70,30,0,0,0,"1|2|3|4|5",2,"1|2|3|4|5",60,40,0,0,0,"1|2|3|4|5",5,40,60,"1|2",3,35,65,"1|2",3,4,2,6,6,1,"Deutsche/r","Deutschland","Deutsche",2337,"Deutschen","Complete","60+",0,0,"Intervention","Pass","FL_88","Intervention","Germany"
