"","StartDate","EndDate","Status","Progress","Duration..in.seconds.","Finished","RecordedDate","DistributionChannel","UserLanguage","Q_RecaptchaScore","Consent","Age","Sex","Citizenship","Residency","National_Identity_1","National_Identity_2","OwnCCBeliefs","OwnCCBeliefs_DO","OtherCCBeliefs_1","OtherCCBeliefs_2","OtherCCBeliefs_3","OtherCCBeliefs_4","OtherCCBeliefs_5","OtherCCBeliefs_DO","OwnBLBeliefs","OwnBLBeliefs_DO","OtherBLBeliefs_1","OtherBLBeliefs_2","OtherBLBeliefs_3","OtherBLBeliefs_4","OtherBLBeliefs_5","OtherBLBeliefs_DO","Discuss","Expectation_Changes_1","Expectation_Changes_2","Expectation_Changes_DO","Changes","Expectation_Support_1","Expectation_Support_2","Expectation_Support_DO","Support","Efficacy","Comprehension","Education","PoliticalOrientation","Urbanicity","Nationality_singular","Country","Nationality_plural","Q_TotalDuration","Response.Type","Age_Cat","randomizer_CCfirst","randomizer_ownfirst","Condition","Comprehension.1","FL_11_DO","FL_54_DO","country"
"1","2022-09-29 10:26:07","2022-09-29 10:34:55",0,100,528,1,"2022-09-29 10:34:56","anonymous","HI",1,1,37,0,1,1,8,7,2,"4|3|2|1|5",0,28,27,45,0,"4|3|2|1|5",1,"4|3|2|1|5",21,25,30,7,17,"4|3|2|1|5",6,70,30,"2|1",3,36,64,"2|1",2,6,2,5,6,1,"भारतीय","भारत","भारतीय",528,"Complete","30-39",1,0,"Intervention","Pass","FL_76","Intervention","India"
"2","2022-09-29 10:38:00","2022-09-29 10:42:21",0,100,261,1,"2022-09-29 10:42:22","anonymous","HI",0.899999976158142,1,42,0,1,1,10,10,1,"1|2|3|4|5",60,10,0,0,30,"1|2|3|4|5",1,"1|2|3|4|5",37,8,0,28,27,"1|2|3|4|5",6,30,70,"1|2",3,49,51,"1|2",3,6,2,6,8,1,"भारतीय","भारत","भारतीय",261,"Complete","40-49",0,0,"Control","Pass","FL_88","Control","India"
"3","2022-09-29 10:44:55","2022-09-29 10:46:48",0,100,113,1,"2022-09-29 10:46:49","anonymous","HI",1,1,30,0,1,1,10,10,1,"4|3|2|1|5",30,18,14,31,7,"4|3|2|1|5",1,"4|3|2|1|5",27,23,21,26,3,"4|3|2|1|5",7,59,41,"2|1",4,50,50,"2|1",4,7,2,6,10,2,"भारतीय","भारत","भारतीय",113,"Speeder","30-39",1,1,"Intervention","Pass","FL_63","Intervention","India"
"4","2022-09-29 10:49:39","2022-09-29 10:52:28",0,100,169,1,"2022-09-29 10:52:30","anonymous","HI",1,1,34,1,1,1,10,10,2,"1|2|3|4|5",63,24,13,0,0,"1|2|3|4|5",4,"1|2|3|4|5",62,22,16,0,0,"1|2|3|4|5",6,75,25,"1|2",3,57,43,"1|2",3,7,2,6,5,1,"भारतीय","भारत","भारतीय",169,"Speeder","30-39",0,0,"Control","Pass","FL_88","Control","India"
"5","2022-09-29 10:44:59","2022-09-29 10:52:47",0,100,468,1,"2022-09-29 10:52:48","anonymous","HI",1,1,45,1,1,1,10,9,2,"1|2|3|4|5",62,20,18,0,0,"1|2|3|4|5",1,"1|2|3|4|5",69,16,15,0,0,"1|2|3|4|5",7,51,49,"1|2",4,42,58,"1|2",4,5,2,5,7,1,"भारतीय","भारत","भारतीय",468,"Complete","40-49",0,1,"Control","Pass","FL_64","Control","India"
"6","2022-09-29 10:49:27","2022-09-29 10:55:21",0,100,354,1,"2022-09-29 10:55:21","anonymous","HI",0.899999976158142,1,21,1,1,1,10,10,1,"1|2|3|4|5",70,20,0,0,10,"1|2|3|4|5",1,"1|2|3|4|5",96,4,0,0,0,"1|2|3|4|5",7,92,8,"1|2",4,0,100,"1|2",4,7,2,5,5,1,"भारतीय","भारत","भारतीय",354,"Complete","18-29",0,1,"Intervention","Pass","FL_64","Intervention","India"
"7","2022-09-29 10:47:28","2022-09-29 10:57:48",0,100,619,1,"2022-09-29 10:57:48","anonymous","HI",1,1,31,0,1,1,6,5,2,"1|2|3|4|5",40,60,0,0,0,"1|2|3|4|5",2,"1|2|3|4|5",60,40,0,0,0,"1|2|3|4|5",2,65,35,"1|2",2,100,0,"1|2",3,4,2,5,5,1,"भारतीय","भारत","भारतीय",619,"Complete","30-39",1,1,"Control","Pass","FL_63","Control","India"
"8","2022-09-29 10:48:03","2022-09-29 10:59:01",0,100,657,1,"2022-09-29 10:59:01","anonymous","HI",1,1,38,0,1,1,10,10,1,"1|2|3|4|5",30,27,25,10,8,"1|2|3|4|5",1,"1|2|3|4|5",10,20,20,30,20,"1|2|3|4|5",5,40,60,"1|2",4,50,50,"1|2",4,6,2,3,5,1,"भारतीय","भारत","भारतीय",657,"Complete","30-39",1,0,"Intervention","Pass","FL_76","Intervention","India"
"9","2022-09-29 10:54:31","2022-09-29 11:01:41",0,100,430,1,"2022-09-29 11:01:41","anonymous","HI",1,1,50,1,1,1,10,10,1,"1|2|3|4|5",64,10,6,10,10,"1|2|3|4|5",1,"1|2|3|4|5",73,6,2,8,11,"1|2|3|4|5",6,25,75,"1|2",3,55,45,"1|2",3,7,2,5,7,1,"भारतीय","भारत","भारतीय",430,"Complete","50-59",0,1,"Intervention","Pass","FL_64","Intervention","India"
"10","2022-09-29 10:56:57","2022-09-29 11:02:02",0,100,304,1,"2022-09-29 11:02:02","anonymous","HI",1,1,66,0,1,1,10,9,1,"1|2|3|4|5",100,0,0,0,0,"1|2|3|4|5",2,"1|2|3|4|5",29,71,0,0,0,"1|2|3|4|5",5,65,35,"1|2",4,60,40,"1|2",4,6,2,6,8,2,"भारतीय","भारत","भारतीय",304,"Complete","60+",1,0,"Control","Pass","FL_76","Control","India"
