"","StartDate","EndDate","Status","Progress","Duration..in.seconds.","Finished","RecordedDate","DistributionChannel","UserLanguage","Q_RecaptchaScore","Consent","Age","Sex","Citizenship","Residency","National_Identity_1","National_Identity_2","OwnCCBeliefs","OwnCCBeliefs_DO","OtherCCBeliefs_1","OtherCCBeliefs_2","OtherCCBeliefs_3","OtherCCBeliefs_4","OtherCCBeliefs_5","OtherCCBeliefs_DO","OwnBLBeliefs","OwnBLBeliefs_DO","OtherBLBeliefs_1","OtherBLBeliefs_2","OtherBLBeliefs_3","OtherBLBeliefs_4","OtherBLBeliefs_5","OtherBLBeliefs_DO","Discuss","Expectation_Changes_1","Expectation_Changes_2","Expectation_Changes_DO","Changes","Expectation_Support_1","Expectation_Support_2","Expectation_Support_DO","Support","Efficacy","Comprehension","Education","PoliticalOrientation","Urbanicity","Nationality_singular","Country","Nationality_plural","Q_TotalDuration","Response.Type","Age_Cat","randomizer_CCfirst","randomizer_ownfirst","Condition","Comprehension.1","FL_11_DO","FL_54_DO","country"
"1","2022-09-29 10:12:31","2022-09-29 10:29:13",0,100,1001,1,"2022-09-29 10:29:14","anonymous","ID",1,1,30,0,1,1,10,9,1,"4|3|2|1|5",30,30,10,10,20,"4|3|2|1|5",2,"4|3|2|1|5",20,30,20,10,20,"4|3|2|1|5",4,70,30,"2|1",2,80,20,"2|1",2,6,2,5,5,1,"Indonesia","Indonesia","Indonesia",1001,"Complete","30-39",1,0,"Control","Pass","FL_76","Control","Indonesia"
"2","2022-09-29 10:26:02","2022-09-29 10:37:17",0,100,675,1,"2022-09-29 10:37:19","anonymous","ID",0.899999976158142,1,46,0,1,1,10,10,2,"4|3|2|1|5",46,54,0,0,0,"4|3|2|1|5",2,"4|3|2|1|5",55,45,0,0,0,"4|3|2|1|5",3,50,50,"2|1",2,32,68,"2|1",3,99,2,5,5,1,"Indonesia","Indonesia","Indonesia",675,"Complete","40-49",0,1,"Intervention","Pass","FL_64","Intervention","Indonesia"
"3","2022-09-29 10:28:31","2022-09-29 10:39:02",0,100,630,1,"2022-09-29 10:39:02","anonymous","ID",1,1,30,0,1,1,10,9,1,"4|3|2|1|5",90,10,0,0,0,"4|3|2|1|5",2,"4|3|2|1|5",0,30,30,40,0,"4|3|2|1|5",5,50,50,"2|1",3,30,70,"2|1",2,3,2,5,5,1,"Indonesia","Indonesia","Indonesia",630,"Complete","30-39",1,1,"Control","Pass","FL_63","Control","Indonesia"
"4","2022-09-29 10:37:31","2022-09-29 10:49:58",0,100,746,1,"2022-09-29 10:49:58","anonymous","ID",0.899999976158142,1,25,1,1,1,10,10,1,"4|3|2|1|5",43,29,17,11,0,"4|3|2|1|5",1,"4|3|2|1|5",78,3,12,7,0,"4|3|2|1|5",7,60,40,"2|1",4,59,41,"2|1",3,6,2,5,7,1,"Indonesia","Indonesia","Indonesia",746,"Complete","18-29",1,0,"Intervention","Pass","FL_76","Intervention","Indonesia"
"5","2022-09-29 10:58:19","2022-09-29 11:07:01",0,100,521,1,"2022-09-29 11:07:01","anonymous","ID",0.899999976158142,1,55,1,1,1,10,10,1,"1|2|3|4|5",99,1,0,0,0,"1|2|3|4|5",1,"1|2|3|4|5",100,0,0,0,0,"1|2|3|4|5",5,30,70,"1|2",2,20,80,"1|2",3,4,2,5,5,1,"Indonesia","Indonesia","Indonesia",521,"Complete","50-59",1,1,"Control","Pass","FL_63","Control","Indonesia"
"6","2022-09-29 10:54:51","2022-09-29 11:07:05",0,100,734,1,"2022-09-29 11:07:05","anonymous","ID",1,1,69,1,1,1,10,10,1,"4|3|2|1|5",20,20,20,20,20,"4|3|2|1|5",1,"4|3|2|1|5",15,30,25,25,5,"4|3|2|1|5",5,70,30,"2|1",3,50,50,"2|1",1,3,2,5,5,1,"Indonesia","Indonesia","Indonesia",734,"Complete","60+",0,0,"Intervention","Pass","FL_88","Intervention","Indonesia"
"7","2022-09-29 10:53:39","2022-09-29 11:09:22",0,100,943,1,"2022-09-29 11:09:22","anonymous","ID",0.899999976158142,1,47,0,1,1,10,10,2,"1|2|3|4|5",20,40,20,10,10,"1|2|3|4|5",2,"1|2|3|4|5",20,30,10,20,20,"1|2|3|4|5",4,60,40,"1|2",3,30,70,"1|2",2,5,2,5,7,1,"Indonesia","Indonesia","Indonesia",943,"Complete","40-49",0,1,"Control","Pass","FL_64","Control","Indonesia"
"8","2022-09-29 11:06:36","2022-09-29 11:11:42",0,100,305,1,"2022-09-29 11:11:42","anonymous","ID",0.899999976158142,1,40,1,1,1,10,5,5,"4|3|2|1|5",0,0,0,0,100,"4|3|2|1|5",5,"4|3|2|1|5",0,0,0,0,100,"4|3|2|1|5",5,100,0,"2|1",2,46,54,"2|1",2,99,2,4,5,1,"Indonesia","Indonesia","Indonesia",305,"Complete","40-49",0,1,"Control","Pass","FL_64","Control","Indonesia"
"9","2022-09-29 11:17:34","2022-09-29 11:23:45",0,100,370,1,"2022-09-29 11:23:47","anonymous","ID",1,1,46,0,1,1,10,10,2,"4|3|2|1|5",10,83,3,4,0,"4|3|2|1|5",2,"4|3|2|1|5",11,82,4,3,0,"4|3|2|1|5",7,28,72,"2|1",3,18,82,"2|1",2,7,2,5,9,1,"Indonesia","Indonesia","Indonesia",370,"Complete","40-49",1,1,"Intervention","Pass","FL_63","Intervention","Indonesia"
"10","2022-09-29 11:15:48","2022-09-29 11:25:01",0,100,552,1,"2022-09-29 11:25:01","anonymous","ID",0.899999976158142,1,60,1,1,1,10,10,2,"4|3|2|1|5",30,30,10,10,20,"4|3|2|1|5",2,"4|3|2|1|5",30,20,20,10,20,"4|3|2|1|5",7,40,60,"2|1",3,30,70,"2|1",3,5,2,3,5,1,"Indonesia","Indonesia","Indonesia",552,"Complete","60+",0,0,"Intervention","Pass","FL_88","Intervention","Indonesia"
