"","StartDate","EndDate","Status","Progress","Duration..in.seconds.","Finished","RecordedDate","DistributionChannel","UserLanguage","Q_RecaptchaScore","Consent","Age","Sex","Citizenship","Residency","National_Identity_1","National_Identity_2","OwnCCBeliefs","OwnCCBeliefs_DO","OtherCCBeliefs_1","OtherCCBeliefs_2","OtherCCBeliefs_3","OtherCCBeliefs_4","OtherCCBeliefs_5","OtherCCBeliefs_DO","OwnBLBeliefs","OwnBLBeliefs_DO","OtherBLBeliefs_1","OtherBLBeliefs_2","OtherBLBeliefs_3","OtherBLBeliefs_4","OtherBLBeliefs_5","OtherBLBeliefs_DO","Discuss","Expectation_Changes_1","Expectation_Changes_2","Expectation_Changes_DO","Changes","Expectation_Support_1","Expectation_Support_2","Expectation_Support_DO","Support","Efficacy","Comprehension","Education","PoliticalOrientation","Urbanicity","Nationality_singular","Country","Nationality_plural","Q_TotalDuration","Nationality_Italian","Response.Type","Age_Cat","randomizer_CCfirst","randomizer_ownfirst","Condition","Comprehension.1","FL_11_DO","FL_54_DO","country"
"1","2022-09-21 17:12:42","2022-09-21 17:15:33",0,100,171,1,"2022-09-21 17:15:34","anonymous","IT",1,1,40,0,1,1,10,7,2,"4|3|2|1|5",0,100,0,0,0,"4|3|2|1|5",2,"4|3|2|1|5",0,62,24,14,0,"4|3|2|1|5",6,49,51,"2|1",3,46,54,"2|1",3,5,2,6,1,1,"Italiano/a","Italia","Italiani",171,"Italiano","Speeder","40-49",0,1,"Control","Pass","FL_64","Control","Italy"
"2","2022-09-21 17:14:46","2022-09-21 17:17:55",0,100,189,1,"2022-09-21 17:17:56","anonymous","IT",1,1,35,0,1,1,10,10,2,"4|3|2|1|5",6,33,30,12,19,"4|3|2|1|5",2,"4|3|2|1|5",19,21,10,50,0,"4|3|2|1|5",6,30,70,"2|1",3,70,30,"2|1",3,6,2,4,7,1,"Italiano/a","Italia","Italiani",189,"Italiano","Complete","30-39",0,0,"Intervention","Pass","FL_88","Intervention","Italy"
"3","2022-09-21 17:14:26","2022-09-21 17:18:43",0,100,257,1,"2022-09-21 17:18:43","anonymous","IT",1,1,62,0,1,1,10,10,1,"4|3|2|1|5",70,20,5,5,0,"4|3|2|1|5",1,"4|3|2|1|5",50,40,5,5,0,"4|3|2|1|5",7,10,90,"2|1",4,10,90,"2|1",4,7,2,6,0,2,"Italiano/a","Italia","Italiani",257,"Italiano","Complete","60+",0,1,"Control","Pass","FL_64","Control","Italy"
"4","2022-09-21 17:18:17","2022-09-21 17:18:44",0,100,26,1,"2022-09-21 17:18:44","anonymous","IT",0.899999976158142,1,28,0,0,1,NA,NA,NA,"",NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,"",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"Italiano/a","Italia","Italiani",26,"Italiano","Screenout","18-29",NA,NA,"","","","","Italy"
"5","2022-09-21 17:13:13","2022-09-21 17:19:58",0,100,405,1,"2022-09-21 17:19:58","anonymous","IT",0.899999976158142,1,47,1,1,1,7,7,2,"4|3|2|1|5",5,50,33,12,0,"4|3|2|1|5",2,"4|3|2|1|5",0,100,0,0,0,"4|3|2|1|5",7,100,0,"2|1",3,71,29,"2|1",2,6,2,4,7,1,"Italiano/a","Italia","Italiani",405,"Italiano","Complete","40-49",1,1,"Control","Pass","FL_63","Control","Italy"
"6","2022-09-21 17:17:59","2022-09-21 17:19:59",0,100,119,1,"2022-09-21 17:19:59","anonymous","IT",1,1,42,1,1,1,10,10,1,"4|3|2|1|5",100,0,0,0,0,"4|3|2|1|5",2,"4|3|2|1|5",0,0,42,58,0,"4|3|2|1|5",5,84,16,"2|1",3,19,81,"2|1",2,7,2,6,7,1,"Italiano/a","Italia","Italiani",119,"Italiano","Speeder","40-49",0,1,"Control","Pass","FL_64","Control","Italy"
"7","2022-09-21 17:13:07","2022-09-21 17:20:08",0,100,420,1,"2022-09-21 17:20:08","anonymous","IT",0.899999976158142,1,37,0,1,1,7,6,2,"1|2|3|4|5",0,0,40,40,20,"1|2|3|4|5",2,"1|2|3|4|5",0,30,0,50,20,"1|2|3|4|5",7,50,50,"1|2",4,60,40,"1|2",3,6,2,4,1,1,"Italiano/a","Italia","Italiani",420,"Italiano","Complete","30-39",1,0,"Intervention","Pass","FL_76","Intervention","Italy"
"8","2022-09-21 17:16:49","2022-09-21 17:20:54",0,100,245,1,"2022-09-21 17:20:55","anonymous","IT",0.899999976158142,1,22,0,1,1,10,10,2,"1|2|3|4|5",83,17,0,0,0,"1|2|3|4|5",2,"1|2|3|4|5",84,16,0,0,0,"1|2|3|4|5",7,84,16,"1|2",2,59,41,"1|2",2,5,2,4,8,1,"Italiano/a","Italia","Italiani",245,"Italiano","Complete","18-29",1,1,"Intervention","Pass","FL_63","Intervention","Italy"
"9","2022-09-21 17:16:14","2022-09-21 17:22:52",0,100,398,1,"2022-09-21 17:22:53","anonymous","IT",0.800000011920929,1,31,0,1,1,10,10,1,"4|3|2|1|5",10,10,20,50,10,"4|3|2|1|5",1,"4|3|2|1|5",10,10,10,60,10,"4|3|2|1|5",7,88,12,"2|1",4,92,8,"2|1",4,7,2,4,5,1,"Italiano/a","Italia","Italiani",398,"Italiano","Complete","30-39",1,0,"Intervention","Pass","FL_76","Intervention","Italy"
"10","2022-09-21 17:23:58","2022-09-21 17:28:40",0,100,282,1,"2022-09-21 17:28:41","anonymous","IT",1,1,60,1,1,1,10,10,1,"4|3|2|1|5",61,15,15,9,0,"4|3|2|1|5",3,"4|3|2|1|5",44,0,29,0,27,"4|3|2|1|5",7,18,82,"2|1",4,19,81,"2|1",3,2,2,3,5,1,"Italiano/a","Italia","Italiani",282,"Italiano","Complete","60+",1,0,"Intervention","Pass","FL_76","Intervention","Italy"
"11","2022-09-21 17:27:19","2022-09-21 17:29:27",0,100,128,1,"2022-09-21 17:29:27","anonymous","IT",1,1,38,1,1,1,5,3,2,"4|3|2|1|5",0,100,0,0,0,"4|3|2|1|5",2,"4|3|2|1|5",0,100,0,0,0,"4|3|2|1|5",6,50,50,"2|1",3,71,29,"2|1",2,4,2,4,10,1,"Italiano/a","Italia","Italiani",128,"Italiano","Speeder","30-39",1,1,"Control","Pass","FL_63","Control","Italy"
"12","2022-09-21 17:26:10","2022-09-21 17:34:19",0,100,488,1,"2022-09-21 17:34:19","anonymous","IT",1,1,38,1,1,1,8,8,2,"4|3|2|1|5",90,10,0,0,0,"4|3|2|1|5",2,"4|3|2|1|5",0,63,7,30,0,"4|3|2|1|5",7,30,70,"2|1",3,66,34,"2|1",4,7,2,4,6,1,"Italiano/a","Italia","Italiani",488,"Italiano","Complete","30-39",0,0,"Control","Pass","FL_88","Control","Italy"
"13","2022-09-21 17:24:35","2022-09-21 17:38:24",0,100,829,1,"2022-09-21 17:38:26","anonymous","IT",0.800000011920929,1,53,0,1,1,10,10,2,"1|2|3|4|5",50,50,0,0,0,"1|2|3|4|5",1,"1|2|3|4|5",60,40,0,0,0,"1|2|3|4|5",5,50,50,"1|2",3,50,50,"1|2",2,5,2,4,5,1,"Italiano/a","Italia","Italiani",829,"Italiano","Complete","50-59",0,0,"Intervention","Pass","FL_88","Intervention","Italy"
"14","2022-09-21 17:38:50","2022-09-21 17:39:52",0,100,61,1,"2022-09-21 17:39:52","anonymous","IT",1,1,64,1,0,1,NA,NA,NA,"",NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,"",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"Italiano/a","Italia","Italiani",61,"Italiano","Screenout","60+",NA,NA,"","","","","Italy"
"15","2022-09-21 17:30:52","2022-09-21 17:41:17",0,100,624,1,"2022-09-21 17:41:19","anonymous","IT",1,1,59,0,1,1,9,9,1,"4|3|2|1|5",10,10,10,10,60,"4|3|2|1|5",2,"4|3|2|1|5",10,10,10,20,50,"4|3|2|1|5",5,50,50,"2|1",3,50,50,"2|1",3,6,2,4,7,1,"Italiano/a","Italia","Italiani",624,"Italiano","Complete","50-59",1,1,"Control","Pass","FL_63","Control","Italy"
"16","2022-09-21 17:40:40","2022-09-21 17:43:20",0,100,159,1,"2022-09-21 17:43:20","anonymous","IT",1,1,32,0,1,1,10,7,1,"4|3|2|1|5",50,0,0,0,50,"4|3|2|1|5",1,"4|3|2|1|5",100,0,0,0,0,"4|3|2|1|5",5,80,20,"2|1",4,80,20,"2|1",4,4,2,6,4,1,"Italiano/a","Italia","Italiani",159,"Italiano","Speeder","30-39",0,1,"Control","Pass","FL_64","Control","Italy"
"17","2022-09-21 17:39:57","2022-09-21 17:43:43",0,100,225,1,"2022-09-21 17:43:43","anonymous","IT",0.800000011920929,1,54,0,1,1,10,9,1,"4|3|2|1|5",85,0,0,0,15,"4|3|2|1|5",2,"4|3|2|1|5",48,52,0,0,0,"4|3|2|1|5",7,40,60,"2|1",3,21,79,"2|1",4,6,2,4,2,1,"Italiano/a","Italia","Italiani",225,"Italiano","Complete","50-59",1,0,"Intervention","Pass","FL_76","Intervention","Italy"
"18","2022-09-21 17:39:41","2022-09-21 17:49:20",0,100,578,1,"2022-09-21 17:49:20","anonymous","IT",1,1,49,0,1,1,10,10,2,"1|2|3|4|5",57,26,9,0,8,"1|2|3|4|5",2,"1|2|3|4|5",55,28,12,0,5,"1|2|3|4|5",7,72,28,"1|2",3,43,57,"1|2",4,5,2,4,8,2,"Italiano/a","Italia","Italiani",578,"Italiano","Complete","40-49",1,0,"Intervention","Pass","FL_76","Intervention","Italy"
"19","2022-09-21 17:52:13","2022-09-21 18:02:39",0,100,626,1,"2022-09-21 18:02:40","anonymous","IT",1,1,80,1,1,1,10,10,3,"4|3|2|1|5",10,10,40,30,10,"4|3|2|1|5",3,"4|3|2|1|5",10,10,40,30,10,"4|3|2|1|5",4,30,70,"2|1",3,28,72,"2|1",3,999,2,4,5,1,"Italiano/a","Italia","Italiani",626,"Italiano","Complete","60+",0,1,"Intervention","Pass","FL_64","Intervention","Italy"
"20","2022-09-21 17:51:43","2022-09-21 18:03:27",0,100,703,1,"2022-09-21 18:03:27","anonymous","IT",0.800000011920929,1,73,1,1,1,10,6,5,"4|3|2|1|5",49,10,11,0,30,"4|3|2|1|5",1,"4|3|2|1|5",30,13,4,3,50,"4|3|2|1|5",1,80,20,"2|1",3,70,30,"2|1",1,1,2,6,5,2,"Italiano/a","Italia","Italiani",703,"Italiano","Complete","60+",0,0,"Control","Pass","FL_88","Control","Italy"
"21","2022-09-21 18:22:30","2022-09-21 18:28:18",0,100,347,1,"2022-09-21 18:28:18","anonymous","IT",1,1,75,1,1,1,10,10,1,"4|3|2|1|5",0,26,7,56,11,"4|3|2|1|5",1,"4|3|2|1|5",36,34,14,9,7,"4|3|2|1|5",7,19,81,"2|1",4,18,82,"2|1",4,99,2,6,10,1,"Italiano/a","Italia","Italiani",347,"Italiano","Complete","60+",1,1,"Intervention","Pass","FL_63","Intervention","Italy"
"22","2022-09-21 18:31:49","2022-09-21 18:37:26",0,100,337,1,"2022-09-21 18:37:26","anonymous","IT",0.899999976158142,1,32,1,1,1,10,9,1,"4|3|2|1|5",10,62,28,0,0,"4|3|2|1|5",1,"4|3|2|1|5",38,26,21,15,0,"4|3|2|1|5",7,39,61,"2|1",3,43,57,"2|1",4,5,2,4,1,1,"Italiano/a","Italia","Italiani",337,"Italiano","Complete","30-39",1,0,"Control","Pass","FL_76","Control","Italy"
"23","2022-09-21 18:40:38","2022-09-21 18:48:45",0,100,487,1,"2022-09-21 18:48:45","anonymous","IT",1,1,60,0,1,1,10,9,1,"4|3|2|1|5",100,0,0,0,0,"4|3|2|1|5",1,"4|3|2|1|5",71,0,0,0,29,"4|3|2|1|5",7,0,100,"2|1",4,0,100,"2|1",4,7,2,4,5,1,"Italiano/a","Italia","Italiani",487,"Italiano","Complete","60+",0,0,"Control","Pass","FL_88","Control","Italy"
"24","2022-09-21 18:45:22","2022-09-21 18:49:50",0,100,268,1,"2022-09-21 18:49:51","anonymous","IT",1,1,35,1,1,1,10,10,1,"1|2|3|4|5",86,14,0,0,0,"1|2|3|4|5",2,"1|2|3|4|5",54,46,0,0,0,"1|2|3|4|5",5,67,33,"1|2",3,31,69,"1|2",3,7,2,3,8,1,"Italiano/a","Italia","Italiani",268,"Italiano","Complete","30-39",1,1,"Intervention","Pass","FL_63","Intervention","Italy"
"25","2022-09-21 18:51:22","2022-09-21 18:58:28",0,100,426,1,"2022-09-21 18:58:28","anonymous","IT",1,1,50,1,1,1,10,10,1,"1|2|3|4|5",52,33,0,0,15,"1|2|3|4|5",1,"1|2|3|4|5",50,39,0,0,11,"1|2|3|4|5",7,18,82,"1|2",4,0,100,"1|2",4,5,2,4,5,1,"Italiano/a","Italia","Italiani",426,"Italiano","Complete","50-59",0,1,"Intervention","Pass","FL_64","Intervention","Italy"
"26","2022-09-21 18:54:40","2022-09-21 19:00:09",0,100,329,1,"2022-09-21 19:00:09","anonymous","IT",1,1,61,0,1,1,10,10,1,"1|2|3|4|5",100,0,0,0,0,"1|2|3|4|5",1,"1|2|3|4|5",100,0,0,0,0,"1|2|3|4|5",7,10,90,"1|2",4,10,90,"1|2",4,7,2,4,6,1,"Italiano/a","Italia","Italiani",329,"Italiano","Complete","60+",0,1,"Control","Pass","FL_64","Control","Italy"
"27","2022-09-21 19:01:13","2022-09-21 19:05:00",0,100,227,1,"2022-09-21 19:05:02","anonymous","IT",1,1,69,0,1,1,10,8,1,"1|2|3|4|5",60,20,4,10,6,"1|2|3|4|5",1,"1|2|3|4|5",70,18,5,7,0,"1|2|3|4|5",5,71,29,"1|2",3,40,60,"1|2",3,5,2,4,2,1,"Italiano/a","Italia","Italiani",227,"Italiano","Complete","60+",0,0,"Control","Pass","FL_88","Control","Italy"
"28","2022-09-21 19:03:15","2022-09-21 19:08:41",0,100,325,1,"2022-09-21 19:08:41","anonymous","IT",1,1,70,0,1,1,10,9,2,"1|2|3|4|5",19,74,0,0,7,"1|2|3|4|5",2,"1|2|3|4|5",22,75,0,0,3,"1|2|3|4|5",5,29,71,"1|2",4,27,73,"1|2",3,6,2,5,5,1,"Italiano/a","Italia","Italiani",325,"Italiano","Complete","60+",1,1,"Intervention","Pass","FL_63","Intervention","Italy"
"29","2022-09-21 19:10:39","2022-09-21 19:14:17",0,100,218,1,"2022-09-21 19:14:17","anonymous","IT",0.899999976158142,1,63,0,1,1,9,9,2,"1|2|3|4|5",53,46,0,0,1,"1|2|3|4|5",2,"1|2|3|4|5",53,42,0,0,5,"1|2|3|4|5",4,46,54,"1|2",3,40,60,"1|2",3,6,2,4,5,1,"Italiano/a","Italia","Italiani",218,"Italiano","Complete","60+",1,0,"Control","Pass","FL_76","Control","Italy"
"30","2022-09-21 19:34:30","2022-09-21 19:40:06",0,100,336,1,"2022-09-21 19:40:06","anonymous","IT",1,1,61,0,1,1,10,10,2,"4|3|2|1|5",30,20,20,30,0,"4|3|2|1|5",2,"4|3|2|1|5",20,40,30,10,0,"4|3|2|1|5",5,30,70,"2|1",3,50,50,"2|1",3,5,2,6,5,1,"Italiano/a","Italia","Italiani",336,"Italiano","Complete","60+",1,0,"Intervention","Pass","FL_76","Intervention","Italy"
"31","2022-09-21 19:38:53","2022-09-21 19:42:43",0,100,230,1,"2022-09-21 19:42:44","anonymous","IT",0.899999976158142,1,25,0,1,1,6,7,1,"4|3|2|1|5",100,0,0,0,0,"4|3|2|1|5",1,"4|3|2|1|5",0,0,0,0,100,"4|3|2|1|5",6,0,100,"2|1",3,0,100,"2|1",3,7,2,6,7,1,"Italiano/a","Italia","Italiani",230,"Italiano","Complete","18-29",0,1,"Control","Pass","FL_64","Control","Italy"
"32","2022-09-21 19:55:28","2022-09-21 20:04:24",0,100,536,1,"2022-09-21 20:04:26","anonymous","IT",1,1,43,0,1,1,8,7,1,"1|2|3|4|5",85,15,0,0,0,"1|2|3|4|5",1,"1|2|3|4|5",84,16,0,0,0,"1|2|3|4|5",7,18,82,"1|2",4,29,71,"1|2",4,6,2,4,2,2,"Italiano/a","Italia","Italiani",536,"Italiano","Complete","40-49",0,0,"Intervention","Pass","FL_88","Intervention","Italy"
"33","2022-09-21 20:12:40","2022-09-21 20:15:55",0,100,194,1,"2022-09-21 20:15:55","anonymous","IT",1,1,40,0,1,1,10,10,1,"1|2|3|4|5",43,57,0,0,0,"1|2|3|4|5",2,"1|2|3|4|5",48,52,0,0,0,"1|2|3|4|5",6,57,43,"1|2",3,31,69,"1|2",4,4,2,5,4,2,"Italiano/a","Italia","Italiani",194,"Italiano","Complete","40-49",1,1,"Control","Pass","FL_63","Control","Italy"
"34","2022-09-21 20:19:32","2022-09-21 20:26:48",0,100,436,1,"2022-09-21 20:26:49","anonymous","IT",1,1,38,1,1,1,5,5,1,"1|2|3|4|5",100,0,0,0,0,"1|2|3|4|5",5,"1|2|3|4|5",76,8,5,5,6,"1|2|3|4|5",2,0,100,"1|2",1,100,0,"1|2",4,7,2,3,3,2,"Italiano/a","Italia","Italiani",436,"Italiano","Complete","30-39",0,1,"Intervention","Pass","FL_64","Intervention","Italy"
"35","2022-09-21 20:54:53","2022-09-21 21:00:13",0,100,319,1,"2022-09-21 21:00:14","anonymous","IT",1,1,37,0,1,1,10,7,1,"1|2|3|4|5",78,22,0,0,0,"1|2|3|4|5",1,"1|2|3|4|5",73,27,0,0,0,"1|2|3|4|5",7,49,51,"1|2",4,48,52,"1|2",4,6,2,5,1,1,"Italiano/a","Italia","Italiani",319,"Italiano","Complete","30-39",1,0,"Intervention","Pass","FL_76","Intervention","Italy"
"36","2022-09-21 21:04:34","2022-09-21 21:11:18",0,100,404,1,"2022-09-21 21:11:20","anonymous","IT",0.899999976158142,1,26,1,1,1,7,7,1,"4|3|2|1|5",42,20,10,16,12,"4|3|2|1|5",1,"4|3|2|1|5",38,19,11,24,8,"4|3|2|1|5",7,31,69,"2|1",3,34,66,"2|1",4,5,2,6,5,2,"Italiano/a","Italia","Italiani",404,"Italiano","Complete","18-29",0,0,"Control","Pass","FL_88","Control","Italy"
"37","2022-09-21 21:08:05","2022-09-21 21:13:25",0,100,320,1,"2022-09-21 21:13:26","anonymous","IT",0.899999976158142,1,34,0,1,1,7,5,1,"1|2|3|4|5",22,59,19,0,0,"1|2|3|4|5",2,"1|2|3|4|5",20,59,2,0,19,"1|2|3|4|5",4,33,67,"1|2",2,33,67,"1|2",4,5,2,6,4,1,"Italiano/a","Italia","Italiani",320,"Italiano","Complete","30-39",1,1,"Intervention","Pass","FL_63","Intervention","Italy"
"38","2022-09-21 21:20:03","2022-09-21 21:28:25",0,100,501,1,"2022-09-21 21:28:26","anonymous","IT",1,1,41,0,1,1,10,5,2,"4|3|2|1|5",14,25,39,22,0,"4|3|2|1|5",2,"4|3|2|1|5",0,0,42,58,0,"4|3|2|1|5",1,53,47,"2|1",2,45,55,"2|1",3,4,2,3,5,1,"Italiano/a","Italia","Italiani",501,"Italiano","Complete","40-49",0,0,"Control","Pass","FL_88","Control","Italy"
"39","2022-09-21 21:39:30","2022-09-21 21:47:28",0,100,477,1,"2022-09-21 21:47:29","anonymous","IT",1,1,60,1,1,1,10,0,1,"4|3|2|1|5",40,30,20,10,0,"4|3|2|1|5",1,"4|3|2|1|5",30,30,20,20,0,"4|3|2|1|5",7,60,40,"2|1",4,75,25,"2|1",4,6,2,6,0,2,"Italiano/a","Italia","Italiani",477,"Italiano","Complete","60+",1,1,"Control","Pass","FL_63","Control","Italy"
"40","2022-09-21 21:45:35","2022-09-21 21:53:56",0,100,501,1,"2022-09-21 21:53:56","anonymous","IT",1,1,33,0,1,1,10,10,1,"1|2|3|4|5",50,31,19,0,0,"1|2|3|4|5",1,"1|2|3|4|5",50,30,10,10,0,"1|2|3|4|5",7,50,50,"1|2",4,71,29,"1|2",3,7,2,4,7,1,"Italiano/a","Italia","Italiani",501,"Italiano","Complete","30-39",1,0,"Intervention","Pass","FL_76","Intervention","Italy"
