"","StartDate","EndDate","Status","Progress","Duration..in.seconds.","Finished","RecordedDate","DistributionChannel","UserLanguage","Q_RecaptchaScore","Consent","Age","Sex","Citizenship","Residency","National_Identity_1","National_Identity_2","OwnCCBeliefs","OwnCCBeliefs_DO","OtherCCBeliefs_1","OtherCCBeliefs_2","OtherCCBeliefs_3","OtherCCBeliefs_4","OtherCCBeliefs_5","OtherCCBeliefs_DO","OwnBLBeliefs","OwnBLBeliefs_DO","OtherBLBeliefs_1","OtherBLBeliefs_2","OtherBLBeliefs_3","OtherBLBeliefs_4","OtherBLBeliefs_5","OtherBLBeliefs_DO","Discuss","Expectation_Changes_1","Expectation_Changes_2","Expectation_Changes_DO","Changes","Expectation_Support_1","Expectation_Support_2","Expectation_Support_DO","Support","Efficacy","Comprehension","Education","PoliticalOrientation","Urbanicity","Nationality_singular","Country","Nationality_plural","Q_TotalDuration","Response.Type","Age_Cat","randomizer_CCfirst","randomizer_ownfirst","Condition","Comprehension.1","FL_11_DO","FL_54_DO"
"1","2022-09-29 10:30:44","2022-09-29 10:34:44","0","100","239","1","2022-09-29 10:34:44","anonymous","JA","1","1","47","1","1","1","10","10","1","4|3|2|1|5","100","0","0","0","0","4|3|2|1|5","2","4|3|2|1|5","90","10","0","0","0","4|3|2|1|5","5","50","50","2|1","3","50","50","2|1","3","5","2","5","5","1","日本人","日本","日本人","239","Complete","40-49","0","1","Intervention","Pass","FL_64","Intervention"
"2","2022-09-29 10:27:46","2022-09-29 10:36:00","0","100","494","1","2022-09-29 10:36:00","anonymous","JA","1","1","51","1","1","1","10","10","2","4|3|2|1|5","0","50","50","0","0","4|3|2|1|5","2","4|3|2|1|5","0","100","0","0","0","4|3|2|1|5","1","0","100","2|1","2","100","0","2|1","2","5","2","6","5","2","日本人","日本","日本人","494","Complete","50-59","1","0","Control","Pass","FL_76","Control"
"3","2022-09-29 10:34:43","2022-09-29 10:50:27","0","100","943","1","2022-09-29 10:50:27","anonymous","JA","1","1","61","1","1","1","10","10","3","4|3|2|1|5","0","0","0","0","100","4|3|2|1|5","3","4|3|2|1|5","0","0","0","0","100","4|3|2|1|5","7","80","20","2|1","1","50","50","2|1","1","2","2","3","5","2","日本人","日本","日本人","943","Complete","60+","1","1","Control","Pass","FL_63","Control"
"4","2022-09-29 10:52:23","2022-09-29 10:57:23","0","100","299","1","2022-09-29 10:57:23","anonymous","JA","1","1","38","1","1","1","8","6","2","4|3|2|1|5","37","50","13","0","0","4|3|2|1|5","2","4|3|2|1|5","0","45","27","28","0","4|3|2|1|5","4","32","68","2|1","2","40","60","2|1","2","3","2","3","5","3","日本人","日本","日本人","299","Complete","30-39","0","0","Intervention","Pass","FL_88","Intervention"
"5","2022-09-29 11:26:04","2022-09-29 11:30:54","0","100","290","1","2022-09-29 11:30:54","anonymous","JA","1","1","28","0","1","1","10","10","2","4|3|2|1|5","32","58","7","3","0","4|3|2|1|5","1","4|3|2|1|5","10","65","17","8","0","4|3|2|1|5","6","80","20","2|1","2","71","29","2|1","2","5","2","5","7","1","日本人","日本","日本人","290","Complete","18-29","0","1","Intervention","Pass","FL_64","Intervention"
"6","2022-09-29 11:23:11","2022-09-29 11:33:43","0","100","632","1","2022-09-29 11:33:43","anonymous","JA","1","1","52","1","1","1","10","10","1","4|3|2|1|5","100","0","0","0","0","4|3|2|1|5","1","4|3|2|1|5","100","0","0","0","0","4|3|2|1|5","7","30","70","2|1","4","90","10","2|1","1","7","2","4","6","2","日本人","日本","日本人","632","Complete","50-59","1","1","Control","Pass","FL_63","Control"
"7","2022-09-29 11:44:12","2022-09-29 11:52:39","0","100","507","1","2022-09-29 11:52:40","anonymous","JA","0.8999999761581421","1","70","1","1","1","10","10","1","1|2|3|4|5","50","20","5","5","20","1|2|3|4|5","5","1|2|3|4|5","20","10","10","20","40","1|2|3|4|5","2","40","60","1|2","3","60","40","1|2","3","99","2","3","8","2","日本人","日本","日本人","507","Complete","60+","0","0","Control","Pass","FL_88","Control"
"8","2022-09-29 11:59:56","2022-09-29 12:16:55","0","100","1018","1","2022-09-29 12:16:55","anonymous","JA","1","1","67","1","1","1","10","9","2","4|3|2|1|5","41","17","9","21","12","4|3|2|1|5","2","4|3|2|1|5","44","18","7","19","12","4|3|2|1|5","3","66","34","2|1","2","50","50","2|1","2","4","2","5","4","2","日本人","日本","日本人","1018","Complete","60+","1","0","Intervention","Pass","FL_76","Intervention"
"9","2022-09-29 12:16:55","2022-09-29 12:20:10","0","100","194","1","2022-09-29 12:20:11","anonymous","JA","0.30000001192092896","1","47","1","1","1","10","10","5","4|3|2|1|5","41","59","0","0","0","4|3|2|1|5","5","4|3|2|1|5","28","12","44","14","2","4|3|2|1|5","4","64","36","2|1","2","27","73","2|1","2","99","2","4","5","1","日本人","日本","日本人","194","Complete","40-49","0","1","Control","Pass","FL_64","Control"
"10","2022-09-29 12:24:08","2022-09-29 12:27:05","0","100","177","1","2022-09-29 12:27:06","anonymous","JA","0.800000011920929","1","31","1","1","1","10","10","2","1|2|3|4|5","40","50","10","0","0","1|2|3|4|5","2","1|2|3|4|5","100","0","0","0","0","1|2|3|4|5","2","85","15","1|2","2","100","0","1|2","1","2","2","5","5","1","日本人","日本","日本人","177","Speeder","30-39","1","1","Intervention","Pass","FL_63","Intervention"
