"","StartDate","EndDate","Status","Progress","Duration..in.seconds.","Finished","RecordedDate","DistributionChannel","UserLanguage","Q_RecaptchaScore","Consent","Age","Sex","Citizenship","Residency","National_Identity_1","National_Identity_2","OwnCCBeliefs","OwnCCBeliefs_DO","OtherCCBeliefs_1","OtherCCBeliefs_2","OtherCCBeliefs_3","OtherCCBeliefs_4","OtherCCBeliefs_5","OtherCCBeliefs_DO","OwnBLBeliefs","OwnBLBeliefs_DO","OtherBLBeliefs_1","OtherBLBeliefs_2","OtherBLBeliefs_3","OtherBLBeliefs_4","OtherBLBeliefs_5","OtherBLBeliefs_DO","Discuss","Expectation_Changes_1","Expectation_Changes_2","Expectation_Changes_DO","Changes","Expectation_Support_1","Expectation_Support_2","Expectation_Support_DO","Support","Efficacy","Comprehension","Education","PoliticalOrientation","Urbanicity","Nationality_singular","Crear.un.campo.nuevo.o.elegir.del.menú.desplegable..","Country","Nationality_plural","Q_TotalDuration","Response.Type","Age_Cat","randomizer_CCfirst","randomizer_ownfirst","Condition","Comprehension.1","FL_11_DO","FL_54_DO"
"1","2022-09-23 17:37:18","2022-09-23 17:39:58","0","100","160","1","2022-09-23 17:39:59","anonymous","ES","1","1","21","1","1","1","10","10","2","4|3|2|1|5","12","39","14","9","26","4|3|2|1|5","1","4|3|2|1|5","20","30","3","7","40","4|3|2|1|5","7","36","64","2|1","4","43","57","2|1","4","7","2","5","4","1","mexicano/a","","México","mexicanos/as","160","Speeder","18-29","0","1","Intervention","Pass","FL_64","Intervention"
"2","2022-09-23 17:37:53","2022-09-23 17:40:19","0","100","145","1","2022-09-23 17:40:19","anonymous","ES","1","1","19","0","1","1","10","10","2","1|2|3|4|5","0","0","4","45","51","1|2|3|4|5","3","1|2|3|4|5","25","6","27","42","0","1|2|3|4|5","3","57","43","1|2","2","44","56","1|2","3","2","3","","","","mexicano/a","","México","mexicanos/as","145","QualityFail","18-29","0","0","Intervention","Fail","FL_88","Intervention"
"3","2022-09-23 17:39:57","2022-09-23 17:40:24","0","100","26","1","2022-09-23 17:40:25","anonymous","ES","0.8999999761581421","1","31","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","mexicano/a","","México","mexicanos/as","26","Screenout","30-39","","","","","",""
"4","2022-09-23 17:39:18","2022-09-23 17:41:12","0","100","114","1","2022-09-23 17:41:13","anonymous","ES","1","1","50","1","1","1","10","9","2","1|2|3|4|5","59","41","0","0","0","1|2|3|4|5","2","1|2|3|4|5","75","25","0","0","0","1|2|3|4|5","6","43","57","1|2","3","20","80","1|2","3","7","2","5","8","1","mexicano/a","","México","mexicanos/as","114","Speeder","50-59","1","1","Intervention","Pass","FL_63","Intervention"
"5","2022-09-23 17:39:59","2022-09-23 17:41:15","0","100","75","1","2022-09-23 17:41:15","anonymous","ES","0.8999999761581421","1","24","0","1","1","2","8","3","1|2|3|4|5","63","37","0","0","0","1|2|3|4|5","2","1|2|3|4|5","55","39","6","0","0","1|2|3|4|5","2","87","13","1|2","3","58","42","1|2","3","2","3","","","","mexicano/a","","México","mexicanos/as","75","QualityFail","18-29","0","0","Control","Fail","FL_88","Control"
"6","2022-09-23 17:38:21","2022-09-23 17:41:20","0","100","178","1","2022-09-23 17:41:20","anonymous","ES","1","1","24","0","1","1","10","8","1","4|3|2|1|5","100","0","0","0","0","4|3|2|1|5","3","4|3|2|1|5","0","61","30","9","0","4|3|2|1|5","6","66","34","2|1","3","61","39","2|1","4","3","2","4","7","1","mexicano/a","","México","mexicanos/as","178","Speeder","18-29","0","1","Control","Pass","FL_64","Control"
"7","2022-09-23 17:37:57","2022-09-23 17:41:25","0","100","207","1","2022-09-23 17:41:25","anonymous","ES","1","1","29","1","1","1","10","10","3","4|3|2|1|5","7","8","74","7","4","4|3|2|1|5","3","4|3|2|1|5","6","9","75","7","3","4|3|2|1|5","7","39","61","2|1","4","29","71","2|1","4","7","2","6","7","1","mexicano/a","","México","mexicanos/as","207","Complete","18-29","1","0","Control","Pass","FL_76","Control"
"8","2022-09-23 17:37:59","2022-09-23 17:41:54","0","100","235","1","2022-09-23 17:41:55","anonymous","ES","0.8999999761581421","1","35","1","1","1","10","10","2","1|2|3|4|5","100","0","0","0","0","1|2|3|4|5","2","1|2|3|4|5","65","35","0","0","0","1|2|3|4|5","5","71","29","1|2","3","76","24","1|2","3","6","2","5","9","1","mexicano/a","","México","mexicanos/as","235","Complete","30-39","0","1","Control","Pass","FL_64","Control"
"9","2022-09-23 17:37:40","2022-09-23 17:42:01","0","100","260","1","2022-09-23 17:42:01","anonymous","ES","1","1","50","1","1","1","10","10","1","1|2|3|4|5","10","30","40","20","0","1|2|3|4|5","2","1|2|3|4|5","5","60","20","10","5","1|2|3|4|5","5","60","40","1|2","3","55","45","1|2","4","7","2","5","6","1","mexicano/a","","México","mexicanos/as","260","Complete","50-59","1","1","Control","Pass","FL_63","Control"
"10","2022-09-23 17:37:56","2022-09-23 17:42:16","0","100","260","1","2022-09-23 17:42:17","anonymous","ES","1","1","34","1","1","1","10","9","1","1|2|3|4|5","67","18","5","4","6","1|2|3|4|5","3","1|2|3|4|5","26","22","40","3","9","1|2|3|4|5","7","75","25","1|2","4","61","39","1|2","4","1","2","5","5","1","mexicano/a","","México","mexicanos/as","260","Complete","30-39","0","0","Intervention","Pass","FL_88","Intervention"
