"","StartDate","EndDate","Status","Progress","Duration..in.seconds.","Finished","RecordedDate","DistributionChannel","UserLanguage","Q_RecaptchaScore","Consent","Age","Sex","Citizenship","Residency","National_Identity_1","National_Identity_2","OwnCCBeliefs","OwnCCBeliefs_DO","OtherCCBeliefs_1","OtherCCBeliefs_2","OtherCCBeliefs_3","OtherCCBeliefs_4","OtherCCBeliefs_5","OtherCCBeliefs_DO","OwnBLBeliefs","OwnBLBeliefs_DO","OtherBLBeliefs_1","OtherBLBeliefs_2","OtherBLBeliefs_3","OtherBLBeliefs_4","OtherBLBeliefs_5","OtherBLBeliefs_DO","Discuss","Expectation_Changes_1","Expectation_Changes_2","Expectation_Changes_DO","Changes","Expectation_Support_1","Expectation_Support_2","Expectation_Support_DO","Support","Efficacy","Comprehension","Education","PoliticalOrientation","Urbanicity","Nationality_singular","Country","Nationality_plural","Q_TotalDuration","Country_n1","Country_n2","Nationality_singular_n1","Nationality_plural_n1","Response.Type","Age_Cat","randomizer_CCfirst","randomizer_ownfirst","Condition","Comprehension.1","FL_11_DO","FL_54_DO"
"1","2022-09-23 17:46:48","2022-09-23 17:49:07","0","100","139","1","2022-09-23 17:49:08","anonymous","PL","1","1","29","0","1","1","9","9","2","1|2|3|4|5","18","39","12","12","19","1|2|3|4|5","2","1|2|3|4|5","15","24","28","21","12","1|2|3|4|5","5","44","56","1|2","3","45","55","1|2","3","6","2","6","5","1","Polak/Polka","Polska","Polacy","139","Polski","Polsce","Polakiem/Polką","Polaków","Speeder","18-29","1","1","Control","Pass","FL_63","Control"
"2","2022-09-23 17:46:39","2022-09-23 17:49:48","0","100","188","1","2022-09-23 17:49:48","anonymous","PL","1","1","52","0","1","1","10","10","1","1|2|3|4|5","100","0","0","0","0","1|2|3|4|5","1","1|2|3|4|5","100","0","0","0","0","1|2|3|4|5","7","0","100","1|2","3","17","83","1|2","3","7","2","4","1","1","Polak/Polka","Polska","Polacy","188","Polski","Polsce","Polakiem/Polką","Polaków","Complete","50-59","0","1","Intervention","Pass","FL_64","Intervention"
"3","2022-09-23 18:01:13","2022-09-23 18:04:28","0","100","195","1","2022-09-23 18:04:28","anonymous","PL","1","1","42","0","1","1","10","10","4","4|3|2|1|5","14","8","14","12","52","4|3|2|1|5","4","4|3|2|1|5","21","13","6","5","55","4|3|2|1|5","7","30","70","2|1","4","22","78","2|1","4","6","2","4","8","2","Polak/Polka","Polska","Polacy","195","Polski","Polsce","Polakiem/Polką","Polaków","Complete","40-49","0","0","Intervention","Pass","FL_88","Intervention"
"4","2022-09-23 18:00:21","2022-09-23 18:05:56","0","100","334","1","2022-09-23 18:05:56","anonymous","PL","1","1","34","1","1","1","8","5","1","4|3|2|1|5","30","40","15","5","10","4|3|2|1|5","2","4|3|2|1|5","15","10","15","50","10","4|3|2|1|5","5","60","40","2|1","3","45","55","2|1","3","5","2","6","5","1","Polak/Polka","Polska","Polacy","334","Polski","Polsce","Polakiem/Polką","Polaków","Complete","30-39","0","1","Control","Pass","FL_64","Control"
"5","2022-09-23 18:00:02","2022-09-23 18:10:56","0","100","654","1","2022-09-23 18:10:57","anonymous","PL","1","1","39","1","1","1","6","5","1","1|2|3|4|5","33","27","16","16","8","1|2|3|4|5","1","1|2|3|4|5","52","32","16","0","0","1|2|3|4|5","6","74","26","1|2","3","72","28","1|2","3","5","2","4","4","1","Polak/Polka","Polska","Polacy","654","Polski","Polsce","Polakiem/Polką","Polaków","Complete","30-39","1","0","Control","Pass","FL_76","Control"
"6","2022-09-23 18:01:42","2022-09-23 18:12:38","0","100","655","1","2022-09-23 18:12:39","anonymous","PL","0.8999999761581421","1","70","0","1","1","10","10","2","1|2|3|4|5","80","20","0","0","0","1|2|3|4|5","2","1|2|3|4|5","45","55","0","0","0","1|2|3|4|5","6","70","30","1|2","3","40","60","1|2","3","7","2","3","1","1","Polak/Polka","Polska","Polacy","655","Polski","Polsce","Polakiem/Polką","Polaków","Complete","60+","1","0","Intervention","Pass","FL_76","Intervention"
"7","2022-09-23 18:33:29","2022-09-23 18:36:54","0","100","204","1","2022-09-23 18:36:54","anonymous","PL","1","1","21","0","1","1","10","10","2","1|2|3|4|5","18","70","0","0","12","1|2|3|4|5","1","1|2|3|4|5","78","22","0","0","0","1|2|3|4|5","7","60","40","1|2","3","50","50","1|2","3","7","2","4","6","2","Polak/Polka","Polska","Polacy","204","Polski","Polsce","Polakiem/Polką","Polaków","Complete","18-29","1","1","Control","Pass","FL_63","Control"
"8","2022-09-23 18:38:24","2022-09-23 18:44:29","0","100","364","1","2022-09-23 18:44:29","anonymous","PL","1","1","64","0","1","1","7","6","5","4|3|2|1|5","10","20","31","19","20","4|3|2|1|5","1","4|3|2|1|5","0","0","50","50","0","4|3|2|1|5","4","70","30","2|1","3","30","70","2|1","1","4","2","4","1","1","Polak/Polka","Polska","Polacy","364","Polski","Polsce","Polakiem/Polką","Polaków","Complete","60+","1","1","Intervention","Pass","FL_63","Intervention"
"9","2022-09-23 19:01:28","2022-09-23 19:04:51","0","100","202","1","2022-09-23 19:04:51","anonymous","PL","1","1","35","1","1","1","9","9","3","4|3|2|1|5","6","15","18","61","0","4|3|2|1|5","3","4|3|2|1|5","0","0","18","82","0","4|3|2|1|5","6","42","58","2|1","4","49","51","2|1","3","6","2","6","8","1","Polak/Polka","Polska","Polacy","202","Polski","Polsce","Polakiem/Polką","Polaków","Complete","30-39","0","1","Control","Pass","FL_64","Control"
"10","2022-09-23 19:13:29","2022-09-23 19:22:33","0","100","544","1","2022-09-23 19:22:33","anonymous","PL","1","1","66","0","1","1","9","8","1","1|2|3|4|5","61","15","15","0","9","1|2|3|4|5","1","1|2|3|4|5","73","27","0","0","0","1|2|3|4|5","6","9","91","1|2","3","61","39","1|2","3","5","2","5","1","1","Polak/Polka","Polska","Polacy","544","Polski","Polsce","Polakiem/Polką","Polaków","Complete","60+","0","0","Intervention","Pass","FL_88","Intervention"
