"","StartDate","EndDate","Status","Progress","Duration..in.seconds.","Finished","RecordedDate","DistributionChannel","UserLanguage","Q_RecaptchaScore","Consent","Age","Sex","Citizenship","Residency","National_Identity_1","National_Identity_2","OwnCCBeliefs","OwnCCBeliefs_DO","OtherCCBeliefs_1","OtherCCBeliefs_2","OtherCCBeliefs_3","OtherCCBeliefs_4","OtherCCBeliefs_5","OtherCCBeliefs_DO","OwnBLBeliefs","OwnBLBeliefs_DO","OtherBLBeliefs_1","OtherBLBeliefs_2","OtherBLBeliefs_3","OtherBLBeliefs_4","OtherBLBeliefs_5","OtherBLBeliefs_DO","Discuss","Expectation_Changes_1","Expectation_Changes_2","Expectation_Changes_DO","Changes","Expectation_Support_1","Expectation_Support_2","Expectation_Support_DO","Support","Efficacy","Comprehension","Education","PoliticalOrientation","Urbanicity","Nationality_singular","Country","Nationality_plural","Q_TotalDuration","Response.Type","Age_Cat","randomizer_CCfirst","randomizer_ownfirst","Condition","Comprehension.1","FL_11_DO","FL_54_DO"
"1","2022-09-29 10:26:38","2022-09-29 10:32:21","0","100","343","1","2022-09-29 10:32:23","anonymous","TH","1","1","50","1","1","1","10","10","2","4|3|2|1|5","36","20","33","5","6","4|3|2|1|5","3","4|3|2|1|5","22","4","39","27","8","4|3|2|1|5","7","51","49","2|1","3","37","63","2|1","3","7","2","3","4","1","ไทย","ไทย","ไทย","343","Complete","50-59","0","1","Control","Pass","FL_64","Control"
"2","2022-09-29 10:35:00","2022-09-29 10:38:36","0","100","216","1","2022-09-29 10:38:36","anonymous","TH","1","1","31","1","1","1","10","10","3","1|2|3|4|5","33","18","14","35","0","1|2|3|4|5","1","1|2|3|4|5","0","15","14","28","43","1|2|3|4|5","7","51","49","1|2","4","41","59","1|2","4","7","2","4","5","1","ไทย","ไทย","ไทย","216","Complete","30-39","1","0","Intervention","Pass","FL_76","Intervention"
"3","2022-09-29 10:38:06","2022-09-29 10:41:02","0","100","176","1","2022-09-29 10:41:03","anonymous","TH","0.8999999761581421","1","32","1","1","1","10","5","1","4|3|2|1|5","27","32","18","12","11","4|3|2|1|5","1","4|3|2|1|5","37","33","10","10","10","4|3|2|1|5","7","58","42","2|1","4","46","54","2|1","3","7","2","6","4","1","ไทย","ไทย","ไทย","176","Speeder","30-39","0","0","Control","Pass","FL_88","Control"
"4","2022-09-29 10:40:11","2022-09-29 10:46:11","0","100","360","1","2022-09-29 10:46:12","anonymous","TH","1","1","44","1","1","1","10","10","2","4|3|2|1|5","0","100","0","0","0","4|3|2|1|5","2","4|3|2|1|5","0","100","0","0","0","4|3|2|1|5","7","0","100","2|1","4","0","100","2|1","4","7","2","5","10","1","ไทย","ไทย","ไทย","360","Complete","40-49","0","0","Intervention","Pass","FL_88","Intervention"
"5","2022-09-29 10:44:15","2022-09-29 10:48:20","0","100","244","1","2022-09-29 10:48:20","anonymous","TH","1","1","54","0","1","1","10","10","1","4|3|2|1|5","100","0","0","0","0","4|3|2|1|5","4","4|3|2|1|5","0","0","0","100","0","4|3|2|1|5","7","30","70","2|1","4","30","70","2|1","4","7","2","7","5","1","ไทย","ไทย","ไทย","244","Complete","50-59","0","1","Control","Pass","FL_64","Control"
"6","2022-09-29 10:29:26","2022-09-29 10:51:43","0","100","1336","1","2022-09-29 10:51:43","anonymous","TH","0.8999999761581421","1","58","1","1","1","10","10","1","4|3|2|1|5","53","17","7","3","20","4|3|2|1|5","2","4|3|2|1|5","20","54","8","3","15","4|3|2|1|5","7","20","80","2|1","3","16","84","2|1","4","7","2","3","9","2","ไทย","ไทย","ไทย","1336","Complete","50-59","1","1","Intervention","Pass","FL_63","Intervention"
"7","2022-09-29 10:50:26","2022-09-29 10:54:45","0","100","258","1","2022-09-29 10:54:46","anonymous","TH","1","1","41","0","1","1","10","7","1","1|2|3|4|5","38","29","14","0","19","1|2|3|4|5","1","1|2|3|4|5","21","13","17","0","49","1|2|3|4|5","7","66","34","1|2","4","0","100","1|2","4","5","2","5","2","1","ไทย","ไทย","ไทย","258","Complete","40-49","1","0","Control","Pass","FL_76","Control"
"8","2022-09-29 10:56:46","2022-09-29 11:05:39","0","100","533","1","2022-09-29 11:05:40","anonymous","TH","1","1","59","1","1","1","5","5","2","4|3|2|1|5","10","90","0","0","0","4|3|2|1|5","1","4|3|2|1|5","90","10","0","0","0","4|3|2|1|5","7","40","60","2|1","3","30","70","2|1","3","5","2","6","8","1","ไทย","ไทย","ไทย","533","Complete","50-59","1","1","Intervention","Pass","FL_63","Intervention"
"9","2022-09-29 11:04:51","2022-09-29 11:10:14","0","100","322","1","2022-09-29 11:10:14","anonymous","TH","1","1","57","0","1","1","10","10","1","1|2|3|4|5","0","100","0","0","0","1|2|3|4|5","1","1|2|3|4|5","100","0","0","0","0","1|2|3|4|5","7","0","100","1|2","4","0","100","1|2","4","7","2","5","0","1","ไทย","ไทย","ไทย","322","Complete","50-59","1","0","Control","Pass","FL_76","Control"
"10","2022-09-29 11:02:56","2022-09-29 11:10:23","0","100","447","1","2022-09-29 11:10:24","anonymous","TH","1","1","36","0","1","1","10","10","1","4|3|2|1|5","0","40","10","50","0","4|3|2|1|5","5","4|3|2|1|5","0","10","40","50","0","4|3|2|1|5","5","50","50","2|1","3","27","73","2|1","4","4","2","5","5","1","ไทย","ไทย","ไทย","447","Complete","30-39","0","0","Intervention","Pass","FL_88","Intervention"
